Bereich	Zugänge_kg	Bewegungen_kg	Differenz_kg	NETTO_kg	Kategorie
PLH-03-05	82.00	0.00	82.00	82.00	Fulfillment
FACHIRANI	80.00	0.00	80.00	80.00	Fulfillment
GC-02-18-1	80.00	0.00	80.00	80.00	Andere
PLH-04-10	254.00	175.00	79.00	79.00	Fulfillment
PLH-02-05	230.00	160.00	70.00	70.00	Fulfillment
PLH-01-03	295.00	227.00	68.00	68.00	Fulfillment
PLH-01-06	178.00	113.00	65.00	65.00	Fulfillment
FARIVERAZ	64.00	0.00	64.00	64.00	Andere
PLH-04-04	64.00	0.00	64.00	64.00	Fulfillment
PLH-01-08	112.00	54.00	58.00	58.00	Fulfillment
PLH-01-16	114.00	169.00	-55.00	-55.00	Fulfillment
GC-03-20-1	52.98	0.00	52.98	52.98	Andere
FACAPK	51.50	0.00	51.50	51.50	Fulfillment
PLH-01-07	147.00	100.00	47.00	47.00	Fulfillment
PLH-01-04	156.00	110.00	46.00	46.00	Fulfillment
FADKLOMP	31.00	0.00	31.00	31.00	Andere
PLH-01-05	123.00	93.00	30.00	30.00	Fulfillment
GC-02-01-1	30.00	0.00	30.00	30.00	Andere
D-06-47-2	30.00	0.00	30.00	30.00	Andere
PLH-01-10	58.00	34.00	24.00	24.00	Fulfillment
PLH-04-01	120.00	99.00	21.00	21.00	Fulfillment
D-06-16-1	20.00	0.00	20.00	20.00	Andere
GC-02-19-1	20.00	0.00	20.00	20.00	Andere
D-06-48-3	20.00	0.00	20.00	20.00	Andere
PLH-02-03	256.00	273.00	-17.00	-17.00	Fulfillment
D-06-04-2	10.00	0.00	10.00	10.00	Andere
D-06-37-3	10.00	0.00	10.00	10.00	Andere
FAMATIKT	10.00	0.00	10.00	10.00	Andere
D-06-48-2	10.00	0.00	10.00	10.00	Andere
D-06-40-2	10.00	0.00	10.00	10.00	Andere
D-06-42-3	10.00	0.00	10.00	10.00	Andere
FADIKELISA	9.00	0.00	9.00	9.00	Andere
FH-01-01	0.00	9.00	-9.00	-9.00	Andere
D-06-15-2	9.00	0.00	9.00	9.00	Andere
PLATINGWIP	3.01	0.00	3.01	3.01	Prep/Plating
D-06-14-1	2.50	0.00	2.50	2.50	Andere
VEGGIE	2.00	0.00	2.00	2.00	Fulfillment
PLSTG-01	0.03	0.00	0.03	0.03	Andere
SP-02-03-3	0.00	0.00	0.00	0.00	Andere
SP-01-01-1	0.00	0.00	0.00	0.00	Andere
PLSTG-03	0.00	0.00	0.00	0.00	Andere
SP-01-01-2	0.00	0.00	0.00	0.00	Andere
PLSTG-02	0.00	0.00	0.00	0.00	Andere
SP-01-02-3	0.00	0.00	0.00	0.00	Andere
SP-02-01-3	0.00	0.00	0.00	0.00	Andere
SP-02-04-2	0.00	0.00	0.00	0.00	Andere
SP-02-06-3	0.00	0.00	0.00	0.00	Andere
SP-02-02-2	0.00	0.00	0.00	0.00	Andere
SP-02-06-2	0.00	0.00	0.00	0.00	Andere
SP-01-06-1	0.00	0.00	0.00	0.00	Andere
PLH-02-06	269.00	269.00	0.00	0.00	Fulfillment
PLH-04-14	71.00	71.00	0.00	0.00	Fulfillment
PLH-01-15	196.00	196.00	0.00	0.00	Fulfillment
PLH-04-13	35.00	35.00	0.00	0.00	Fulfillment
A-01-14-2	0.00	0.00	0.00	0.00	Andere
A-01-20-1	0.00	0.00	0.00	0.00	Andere
A-01-23-1	0.00	0.00	0.00	0.00	Andere
A-01-24-1	0.00	0.00	0.00	0.00	Andere
A-01-25-1	0.00	0.00	0.00	0.00	Andere
A-01-26-1	0.00	0.00	0.00	0.00	Andere
A-01-27-1	0.00	0.00	0.00	0.00	Andere
A-01-28-1	0.00	0.00	0.00	0.00	Andere
A-01-29-1	0.00	0.00	0.00	0.00	Andere
A-01-34-1	0.00	0.00	0.00	0.00	Andere
A-01-35-1	400.00	400.00	0.00	0.00	Andere
A-01-36-1	0.00	0.00	0.00	0.00	Andere
A-01-37-1	0.00	0.00	0.00	0.00	Andere
