Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FV0130A - Pulled Chicken Burrito Bowl - [DE],REC-014049-4-005,R,1,portions,Rice - Shredded Chicken Taco Bowl Rice & Beans - Parboiled Rice,S,,100,grams,,SUB-013698-4-001,HAND MIX / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

3 Compartment

MAIN COMPARTMENT
rice & beans - 100g
roasted peppers - 45g
shredded chicken - 100g cooked
cheese - 15g 
Roasted green onions - 5g
",,,1.00197,1,SCOOP,grey,LEVEL,,,0.22046,3.52047,0.22003,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl - [DE],REC-014049-4-005,R,1,portions,Roasted Green and Red Bell Peppers - Diced - reduced salt,S,,45,grams,,SUB-013883-4-001,OVEN / BLAST CHILLER,,,,0.79997,1,SCOOP,red,LEVEL,,,0.09921,1.98423,0.12401,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl - [DE],REC-014049-4-005,R,1,portions,Pulled Chicken - Batch for Taco Bowl,S,,100,grams,,SUB-014048-4-001,MARINADE / OVEN / HOT SHREDDER / BLAST CHILLER,,,,0.71934,1,SCOOP,grey,LEVEL,,,0.22046,4.90364,0.30648,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl - [DE],REC-014049-4-005,R,1,portions,"FA-DE Cheese, White Cheddar, Shredded /Käse, weißer Cheddar, gerieben",I,DAI-00-139135-3,15,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,,,,,,,0.03307,0.52911,0.03307,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl - [DE],REC-014049-4-005,R,1,portions,Roasted Green Onions,S,,5,grams,,SUB-023370-4-001,OVEN / BLAST CHILLER,,,,0.77467,,,,,,,0.01102,0.22767,0.01423,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl - [DE],REC-014049-4-005,R,1,portions,Corn - Red Chili pulled Pork,S,,90,grams,,SUB-013700-4-001,OVEN / BLAST CHILLER,"2ND COMPARTMENT
corn salsa - 90g",,,0.86639,1,SCOOP,beige,LEVEL,,,0.19842,3.66423,0.22901,PCK-00-151924-5,2nd,
FV0130A - Pulled Chicken Burrito Bowl - [DE],REC-014049-4-005,R,1,portions,Sauce - Cilantro Sour Cream,S,,44,grams,,SUB-013701-4-001,IMMERSION BLENDER / CUPPING,"3RD COMPARTMENT
cilantro sour cream (cup) - 44g

NET WEIGHT: 399g",MILCH (EINSCHLIESSLICH LAKTOSE),,0.8912,,,,,,,0.097,1.74153,0.10885,PCK-00-151924-5,3rd,

FV0130A - Pulled Chicken Burrito Bowl [DKSE],REC-014049-4-004,R,1,portions,Rice - Shredded Chicken Taco Bowl Rice & Beans - Parboiled Rice,S,,100,grams,,SUB-013698-4-001,HAND MIX / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

3 Compartment

MAIN COMPARTMENT
rice & beans - 100g
roasted peppers - 45g
shredded chicken - 100g cooked
cheese - 15g 
Roasted green onions - 5g
",,,1.00197,1,SCOOP,grey,LEVEL,,,0.22046,3.52047,0.22003,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl [DKSE],REC-014049-4-004,R,1,portions,Roasted Green and Red Bell Peppers - Diced - reduced salt,S,,45,grams,,SUB-013883-4-001,OVEN / BLAST CHILLER,,,,0.79997,1,SCOOP,red,LEVEL,,,0.09921,1.98423,0.12401,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl [DKSE],REC-014049-4-004,R,1,portions,Pulled Chicken - Batch for Taco Bowl,S,,100,grams,,SUB-014048-4-001,MARINADE / OVEN / HOT SHREDDER / BLAST CHILLER,,,,0.71934,1,SCOOP,grey,LEVEL,,,0.22046,4.90364,0.30648,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl [DKSE],REC-014049-4-004,R,1,portions,"FA-DE Cheese, White Cheddar, Shredded /Käse, weißer Cheddar, gerieben",I,DAI-00-139135-3,15,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,,,,,,,0.03307,0.52911,0.03307,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl [DKSE],REC-014049-4-004,R,1,portions,Roasted Green Onions,S,,5,grams,,SUB-023370-4-001,OVEN / BLAST CHILLER,,,,0.77467,,,,,,,0.01102,0.22767,0.01423,PCK-00-151924-5,Main,
FV0130A - Pulled Chicken Burrito Bowl [DKSE],REC-014049-4-004,R,1,portions,Corn - Red Chili pulled Pork,S,,90,grams,,SUB-013700-4-001,OVEN / BLAST CHILLER,"2ND COMPARTMENT
corn salsa - 90g",,,0.86639,1,SCOOP,beige,LEVEL,,,0.19842,3.66423,0.22901,PCK-00-151924-5,2nd,
