Recipe Name,Recipe ID,Sub-Recipe 1 Name,Sub-Recipe 1 ID,Sub-Recipe 1 Quantity,Sub-Recipe 1 UOM,Sub-Recipe 1 Recipe Categories,Sub-Recipe 2 Name,Sub-Recipe 2 ID,Sub-Recipe 2 Quantity,Sub-Recipe 2 UOM,Sub-Recipe 2 Recipe Categories,Sub-Recipe 3 Name,Sub-Recipe 3 ID,Sub-Recipe 3 Quantity,Sub-Recipe 3 UOM,Sub-Recipe 3 Recipe Categories,Sub-Recipe 4 Name,Sub-Recipe 4 ID,Sub-Recipe 4 Quantity,Sub-Recipe 4 UOM,Sub-Recipe 4 Recipe Categories,Ingredient,Ingredient ID,Gross Ingredient Qty,Net Ingredient Qty,Ingredient UOM,Ingredient Allergen Type,Sub Allergen Type,Sub-Recipe Yield %,Qty Converted to Weight,Qty Unit
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,SUB-013572-4-001,1,each,"BLAST CHILLER, GRILL, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Oregano Dry /Gewürz, Oregano trocken",SPI-00-139372-5,0.14,0.14,grams,,,0.68509,0.14,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,SUB-013572-4-001,1,each,"BLAST CHILLER, GRILL, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Onion Granulated /Gewürze, Zwiebeln granuliert",SPI-00-139370-5,0.23,0.23,grams,,,0.68509,0.23,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,SUB-013572-4-001,1,each,"BLAST CHILLER, GRILL, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Crushed Red Pepper Flakes /Gewürz, zerkleinerte rote Pfefferflocken",SPI-00-139344-5,0.09,0.09,grams,,,0.68509,0.09,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,SUB-013572-4-001,1,each,"BLAST CHILLER, GRILL, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,0.43,0.43,grams,,,0.68509,0.43,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,SUB-013572-4-001,1,each,"BLAST CHILLER, GRILL, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Vinegar, Red Wine /Essig, Rotwein",PRO-00-139301-5,2.3,2.3,grams,,,0.68509,2.3,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,SUB-013572-4-001,1,each,"BLAST CHILLER, GRILL, MARINADE, OVEN",Chicken Breast - BRINED 160g,SUB-013527-4-001,164,grams,BRINE,,,,,,,,,,,"FA-DE Chicken, Breast, B/S - 160g/Hähnchen, Brust, B/S – 160 g",PTN-00-139317-3,164,164,grams,,,0.4978,164,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,SUB-013572-4-001,1,each,"BLAST CHILLER, GRILL, MARINADE, OVEN",Chicken Breast - BRINED 160g,SUB-013527-4-001,164,grams,BRINE,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,164,164,grams,,,0.4978,164,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,SUB-013572-4-001,1,each,"BLAST CHILLER, GRILL, MARINADE, OVEN",Chicken Breast - BRINED 160g,SUB-013527-4-001,164,grams,BRINE,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,1.45,1.45,grams,,,0.4978,1.45,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,SUB-013572-4-001,1,each,"BLAST CHILLER, GRILL, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Parsley, Chopped /Petersilie, gehackt",PHF-00-139215-3,0.46,0.46,grams,,,0.68509,0.46,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,SUB-013572-4-001,1,each,"BLAST CHILLER, GRILL, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,6.8,6.8,grams,,,0.68509,6.8,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,SUB-013572-4-001,1,each,"BLAST CHILLER, GRILL, MARINADE, OVEN",Basil - Picked Basil Leaves,SUB-013424-4-001,0.57,grams,"DEBOX, STAGING",,,,,,,,,,,"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,1.02,1.02,grams,,,0.55986,1.02,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.2,0.2,grams,,,0.87052,0.2,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Parsley, Chopped /Petersilie, gehackt",PHF-00-139215-3,0.2,0.2,grams,,,0.87052,0.2,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Juice, Lemon /Saft, Zitrone",PRO-00-139265-5,3.77,3.77,grams,,,0.87052,3.77,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Onion, Spanish, Diced 5mm /Zwiebel, Spanisch, gewürfelt 5 mm",PHF-00-139212-3,2.64,2.64,grams,,,0.87052,2.64,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,1.05,1.05,grams,SCHWEFELDIOXIDE UND SULFITE,,0.87052,1.05,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",Pureed Capers,SUB-013604-4-001,2.92,grams,"DEBOX, STAGING",,,,,,,,,,,"FA-DE Capers, Preserved/Kapern, konserviert",PRO-00-139257-5,2.92,2.92,grams,,,1.0,2.92,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,FA-DE Heavy Cream 20% /Sahne 20%,DAI-00-139137-3,31.81,31.81,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.87052,31.81,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Lemon Powder /Gewürz, Zitronenpulver",SPI-00-139362-5,0.06,0.06,grams,,,0.87052,0.06,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Milk, Whole /Milch, voll",DAI-00-139142-3,5.73,5.73,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.87052,5.73,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,2.27,2.27,grams,,,0.87052,2.27,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Shallots, Diced 5mm /Schalotten, gewürfelt, 5 mm",PHF-00-139222-3,2.64,2.64,grams,,,0.87052,2.64,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Sauce - Piccata Sauce - Lower Fat,SUB-013605-4-001,50,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Butter, Unsalted /Butter, ungesalzen",DAI-00-139146-3,4.17,4.17,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.87052,4.17,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Broccoli - S&P Broccoli FLORETS - less salt,SUB-013822-4-001,100,grams,HAND MIX,,,,,,,,,,,,,,,,"FA-DE Broccoli, Florets, /Brokkoli, Röschen",PHF-00-143425-3,131.47,131.47,grams,,,0.6962,131.47,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Broccoli - S&P Broccoli FLORETS - less salt,SUB-013822-4-001,100,grams,HAND MIX,Broccoli Marinade,SUB-031970-4-001,12.17,grams,IMMERSION BLENDER,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.49,0.49,grams,,,0.97994,0.49,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Broccoli - S&P Broccoli FLORETS - less salt,SUB-013822-4-001,100,grams,HAND MIX,Broccoli Marinade,SUB-031970-4-001,12.17,grams,IMMERSION BLENDER,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,11.04,11.04,grams,,,0.97994,11.04,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Broccoli - S&P Broccoli FLORETS - less salt,SUB-013822-4-001,100,grams,HAND MIX,Broccoli Marinade,SUB-031970-4-001,12.17,grams,IMMERSION BLENDER,,,,,,,,,,,"FA-DE Spice, Garlic Powder, Toasted /Gewürz, Knoblauchpulver, geröstet",SPI-00-139354-5,0.39,0.39,grams,,,0.97994,0.39,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Broccoli - S&P Broccoli FLORETS - less salt,SUB-013822-4-001,100,grams,HAND MIX,Broccoli Marinade,SUB-031970-4-001,12.17,grams,IMMERSION BLENDER,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,0.49,0.49,grams,,,0.97994,0.49,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Compound butter - Parmesan-Chive,SUB-013536-4-001,10,grams,"BLAST CHILLER, PLANETARY MIXER, SCOOPER (BUTTER)",,,,,,,,,,,,,,,,"FA-DE Spice, Parsley Dried /Gewürze, getrocknete Petersilie",SPI-00-139374-5,0.11,0.11,grams,,,0.9055,0.11,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Compound butter - Parmesan-Chive,SUB-013536-4-001,10,grams,"BLAST CHILLER, PLANETARY MIXER, SCOOPER (BUTTER)",,,,,,,,,,,,,,,,"FA-DE Butter, Unsalted /Butter, ungesalzen",DAI-00-139146-3,8.12,8.12,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.9055,8.12,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Compound butter - Parmesan-Chive,SUB-013536-4-001,10,grams,"BLAST CHILLER, PLANETARY MIXER, SCOOPER (BUTTER)",,,,,,,,,,,,,,,,"FA-DE Spice, Chives Dried /Gewürze, getrocknete Schnittlauch",SPI-00-139322-5,0.11,0.11,grams,,,0.9055,0.11,grams
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,Compound butter - Parmesan-Chive,SUB-013536-4-001,10,grams,"BLAST CHILLER, PLANETARY MIXER, SCOOPER (BUTTER)",,,,,,,,,,,,,,,,"FA-DE Cheese, Parmesan, Grated /Käse, Parmesan, gerieben",DAI-00-139127-3,2.71,2.71,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,0.9055,2.71,grams
FE0031B - Creamy tomato risotto [PENDING CULINARY REVIEW],REC-013939-4-002,Risotto - Roasted Vegetable Risotto Batch (without wine),SUB-013758-4-001,250,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Onion, Red, Diced 10mm/Zwiebeln, rot, gewürfelt, 10 mm",PHF-00-139216-3,11.73,11.73,grams,,,0.92191,11.73,grams
FE0031B - Creamy tomato risotto [PENDING CULINARY REVIEW],REC-013939-4-002,Risotto - Roasted Vegetable Risotto Batch (without wine),SUB-013758-4-001,250,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Tomatoes, Crushed /Tomaten, zerkleinert",PRO-00-139294-5,14.64,14.64,grams,,,0.92191,14.64,grams
FE0031B - Creamy tomato risotto [PENDING CULINARY REVIEW],REC-013939-4-002,Risotto - Roasted Vegetable Risotto Batch (without wine),SUB-013758-4-001,250,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Italian Seasoning /Gewürze, italienische Gewürze",SPI-00-139359-5,1.25,1.25,grams,,,0.92191,1.25,grams
FE0031B - Creamy tomato risotto [PENDING CULINARY REVIEW],REC-013939-4-002,Risotto - Roasted Vegetable Risotto Batch (without wine),SUB-013758-4-001,250,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,1.67,1.67,grams,SCHWEFELDIOXIDE UND SULFITE,,0.92191,1.67,grams
FE0031B - Creamy tomato risotto [PENDING CULINARY REVIEW],REC-013939-4-002,Risotto - Roasted Vegetable Risotto Batch (without wine),SUB-013758-4-001,250,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,1.16,1.16,grams,,,0.92191,1.16,grams
FE0031B - Creamy tomato risotto [PENDING CULINARY REVIEW],REC-013939-4-002,Risotto - Roasted Vegetable Risotto Batch (without wine),SUB-013758-4-001,250,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,164.53,164.53,grams,,,0.92191,164.53,grams
