Recipe Name,Recipe ID,Sub-Recipe 1 Name,Sub-Recipe 1 ID,Sub-Recipe 1 Quantity,Sub-Recipe 1 UOM,Sub-Recipe 1 Recipe Categories,Sub-Recipe 2 Name,Sub-Recipe 2 ID,Sub-Recipe 2 Quantity,Sub-Recipe 2 UOM,Sub-Recipe 2 Recipe Categories,Sub-Recipe 3 Name,Sub-Recipe 3 ID,Sub-Recipe 3 Quantity,Sub-Recipe 3 UOM,Sub-Recipe 3 Recipe Categories,Sub-Recipe 4 Name,Sub-Recipe 4 ID,Sub-Recipe 4 Quantity,Sub-Recipe 4 UOM,Sub-Recipe 4 Recipe Categories,Ingredient,Ingredient ID,Gross Ingredient Qty,Net Ingredient Qty,Ingredient UOM,Ingredient Allergen Type,Sub Allergen Type,Sub-Recipe Yield %,Qty Converted to Weight,Qty Unit
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,4.83,4.83,grams,,,0.98048,4.83,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,0.1,0.1,grams,,,0.98048,0.1,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Cayenne Pepper /Gewürz, Cayennepfeffer",SPI-00-139339-5,0.05,0.05,grams,,,0.98048,0.05,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Cumin Ground /Gewürz, gemahlener Kreuzkümmel",SPI-00-139345-5,0.26,0.26,grams,,,0.98048,0.26,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Sugar, Coconut /Zucker, Kokosnuss",DRY-00-139171-5,0.1,0.1,grams,,,0.98048,0.1,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Ancho Chili Powder /Gewürz, Ancho-Chili-Pulver",SPI-00-139329-5,0.42,0.42,grams,,,0.98048,0.42,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,10.49,grams,IMMERSION BLENDER,,,,,,,,,,,,,,,,"FA-DE Spice, Guajillo Peppers, Ground /Gewürze, Guajillo-Paprikaschoten, gemahlen",SPI-00-139358-5,0.42,0.42,grams,,,0.98048,0.42,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Pork Tenderloin - BRINED,SUB-013360-4-001,124.74,grams,BRINE,,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,1.1,1.1,grams,,,0.4978,1.1,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Pork Tenderloin - BRINED,SUB-013360-4-001,124.74,grams,BRINE,,,,,,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,124.74,124.74,grams,,,0.4978,124.74,grams
Adobo Pork Base [PENDING CULINARY REVIEW],SUB-013362-4-001,Pork Tenderloin - BRINED,SUB-013360-4-001,124.74,grams,BRINE,,,,,,,,,,,,,,,,"FA-DE Pork, Tenderloin /Schweinefleisch, Filet",PTN-00-139310-3,124.74,124.74,grams,,,0.4978,124.74,grams
Almond Topping,SUB-013497-4-001,Toasted Sliced Almonds,SUB-013495-4-001,62.65,grams,"BLAST CHILLER, HAND MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Almond, Sliced, Blanched /Mandeln, geschnitten, blanchiert",SPI-00-139147-5,65.2,65.2,grams,"MANDELN, SCHALENFRÜCHTE",,0.96089,65.2,grams
Almond Topping,SUB-013497-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Onion, Green, Sliced 5mm /Zwiebel, grün, in Scheiben geschnitten, 5 mm",PHF-00-149803-3,31.18,31.18,grams,,,,31.18,grams
Almond Topping,SUB-013497-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,6.24,6.24,grams,,,,6.24,grams
Almond Topping,SUB-013497-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,3.12,3.12,grams,,,,3.12,grams
Almond Topping,SUB-013497-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,0.85,0.85,grams,,,,0.85,grams
Almond Topping,SUB-013497-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Gochugaru Chili Pepper Flakes /Gewürz, Gochugaru-Chili-Pfefferflocken",SPI-00-139356-5,1.98,1.98,grams,,,,1.98,grams
Almonds - Garlic & Black Pepper Toasted Almonds,SUB-013553-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Almond, Sliced, Blanched /Mandeln, geschnitten, blanchiert",SPI-00-139147-5,7.94,7.94,grams,"MANDELN, SCHALENFRÜCHTE",,,7.94,grams
Almonds - Garlic & Black Pepper Toasted Almonds,SUB-013553-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,0.57,0.57,grams,,,,0.57,grams
Almonds - Garlic & Black Pepper Toasted Almonds,SUB-013553-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,0.28,0.28,grams,,,,0.28,grams
Almonds - Garlic & Black Pepper Toasted Almonds,SUB-013553-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,0.07,0.07,grams,,,,0.07,grams
Almonds - Garlic & Black Pepper Toasted Almonds,SUB-013553-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.06,0.06,grams,,,,0.06,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Sauce - Apricot Mostarda [PENDING CULINARY REVIEW],SUB-013722-4-001,60,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Shallots, Diced 5mm /Schalotten, gewürfelt, 5 mm",PHF-00-139222-3,11.3,11.3,grams,,,0.89385,11.3,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Sauce - Apricot Mostarda [PENDING CULINARY REVIEW],SUB-013722-4-001,60,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Mustard Seed, Whole/Gewürz, Senfkörner, ganz",SPI-00-139326-5,0.59,0.59,grams,SENF,,0.89385,0.59,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Sauce - Apricot Mostarda [PENDING CULINARY REVIEW],SUB-013722-4-001,60,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,1.78,1.78,grams,,,0.89385,1.78,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Sauce - Apricot Mostarda [PENDING CULINARY REVIEW],SUB-013722-4-001,60,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Diced Apricots, Dried/getrocknete, gewürfelte Aprikosen",DRY-00-144322-5,29.72,29.72,grams,,,0.89385,29.72,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Sauce - Apricot Mostarda [PENDING CULINARY REVIEW],SUB-013722-4-001,60,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,2.37,2.37,grams,SCHWEFELDIOXIDE UND SULFITE,,0.89385,2.37,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Sauce - Apricot Mostarda [PENDING CULINARY REVIEW],SUB-013722-4-001,60,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Vinegar, Apple Cider /Essig, Apfelwein",PRO-00-139299-5,4.76,4.76,grams,,,0.89385,4.76,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Sauce - Apricot Mostarda [PENDING CULINARY REVIEW],SUB-013722-4-001,60,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Mustard, Dijon /Senf, Dijon",PRO-00-139276-5,2.37,2.37,grams,SENF,,0.89385,2.37,grams
