MSKU Recipe Name,CSKU Name,CSKU Code,Ingredient Category,Gross Qty,UoM,MSKU Code,Characteristics
FV0090A - Ratatouille of zucchini and pepper [DE],FA-DE Sunflower Seeds /Sonnenblumenkerne,DRY-00-139172-5,DRY,8.99,grams,REC-013827-4-004,"VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],FA-DE Tomato Paste /Tomatenmark,PRO-00-139292-5,PRO,15.03,grams,REC-013827-4-004,"FISH_FREE,NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Tomatoes, Diced, BiB/Tomaten, gewürfelt, BiB",PRO-00-139295-5,PRO,76.56,grams,REC-013827-4-004,"VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DE],"FA-DE Zucchini, Diced 10mm /Zucchini, gewürfelt 10 mm",PHF-00-139229-3,PHF,79.36,grams,REC-013827-4-004,"FISH_FREE,PORK_FREE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,PHF,4.43,grams,REC-013827-4-003,"FISH_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Bell Peppers, Red, Diced 10mm /Paprika, rot, gewürfelt 10 mm",PHF-00-139179-3,PHF,45.26,grams,REC-013827-4-003,"VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Butter, Unsalted /Butter, ungesalzen",DAI-00-139146-3,DAI,4.83,grams,REC-013827-4-003,VEGETARIAN
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Cheese, Parmesan, Grated /Käse, Parmesan, gerieben",DAI-00-139127-3,DAI,5.79,grams,REC-013827-4-003,
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Chives, Dried /Schnittlauch, getrocknet",SPI-00-139322-5,SPI,0.14,grams,REC-013827-4-003,"FISH_FREE,NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Fennel, Diced 10mm /Fenchel, gewürfelt 10 mm",PHF-00-139196-3,PHF,11.35,grams,REC-013827-4-003,"FISH_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,PHF,7.13,grams,REC-013827-4-003,"FISH_FREE,NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Garlic, Peeled, Whole Cloves [10kg] /Knoblauch, geschält, ganze Nelken [10kg]",PHF-00-139197-3,PHF,7.68,grams,REC-013827-4-003,"SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Grits, Cereal Hot, Quick /Grütze, Müsli, heiß, schnell",PRO-00-139264-5,PRO,25.18,grams,REC-013827-4-003,"VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],FA-DE Honey /Honig – Masse,PRO-00-139266-5,PRO,0.57,grams,REC-013827-4-003,"SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],FA-DE Mascarpone /Mascarpone,DAI-00-139143-3,DAI,9.66,grams,REC-013827-4-003,VEGETARIAN
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Milk, Semi-Skimmed /Milch, teilentrahmt",DAI-00-139139-3,DAI,115.86,grams,REC-013827-4-003,
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,6.13,grams,REC-013827-4-003,"VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Onion, Red, Diced 10mm/Zwiebeln, rot, gewürfelt, 10 mm",PHF-00-139216-3,PHF,24.18,grams,REC-013827-4-003,"FISH_FREE,PORK_FREE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Onion, Spanish, Diced 10mm /Zwiebel, Spanisch, gewürfelt 10 mm",PHF-00-139209-3,PHF,24.18,grams,REC-013827-4-003,"FISH_FREE,PORK_FREE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Parsley, Chopped /Petersilie, gehackt",PHF-00-139215-3,PHF,2.48,grams,REC-013827-4-003,"FISH_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Rosemary, IQF /Rosmarin, IQF",PHF-00-139243-1,PHF,0.31,grams,REC-013827-4-003,"SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,SPI,0.3,grams,REC-013827-4-003,"NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,1.93,grams,REC-013827-4-003,"NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],FA-DE Sunflower Seeds /Sonnenblumenkerne,DRY-00-139172-5,DRY,8.99,grams,REC-013827-4-003,"VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],FA-DE Tomato Paste /Tomatenmark,PRO-00-139292-5,PRO,15.03,grams,REC-013827-4-003,"FISH_FREE,NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Tomatoes, Diced, BiB/Tomaten, gewürfelt, BiB",PRO-00-139295-5,PRO,76.56,grams,REC-013827-4-003,"VEGAN,VEGETARIAN"
FV0090A - Ratatouille of zucchini and pepper [DKSE],"FA-DE Zucchini, Diced 10mm /Zucchini, gewürfelt 10 mm",PHF-00-139229-3,PHF,79.36,grams,REC-013827-4-003,"FISH_FREE,PORK_FREE,VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Beans, Black, Low Sodium, Aseptic /Bohnen, schwarz, natriumarm, aseptisch",PRO-00-139255-5,PRO,49.61,grams,REC-013918-4-003,"NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Bell Peppers, Green, Diced 10mm /Paprika, grün, gewürfelt 10 mm",PHF-00-139176-3,PHF,16.13,grams,REC-013918-4-003,"FISH_FREE,PORK_FREE,VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Bell Peppers, Red, Diced 10mm /Paprika, rot, gewürfelt 10 mm",PHF-00-139179-3,PHF,5.3,grams,REC-013918-4-003,"VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Cheese, White Cheddar, Shredded /Käse, weißer Cheddar, gerieben",DAI-00-139135-3,DAI,20,grams,REC-013918-4-003,VEGETARIAN
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Coriander, Chopped /Koriander, gehackt",PHF-00-139192-3,PHF,6.83,grams,REC-013918-4-003,"VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,PHF,17.07,grams,REC-013918-4-003,"FISH_FREE,NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Jalapeno Peppers, Diced 5mm /Jalapeno-Paprikaschoten, gewürfelt, 5 mm",PHF-00-139201-3,PHF,53.02,grams,REC-013918-4-003,"VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Juice, Lime /Saft, Limette",PRO-00-139268-5,PRO,4.11,grams,REC-013918-4-003,"FISH_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,13.34,grams,REC-013918-4-003,"VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Onion, Green, Sliced 5mm /Zwiebel, grün, in Scheiben geschnitten, 5 mm",PHF-00-149803-3,PHF,11.2,grams,REC-013918-4-003,"FISH_FREE,PORK_FREE,VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Onion, Red, Diced 5mm /Zwiebeln, rot, gewürfelt 5 mm",PHF-00-139213-3,PHF,10.27,grams,REC-013918-4-003,"FISH_FREE,PORK_FREE,VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Onion, Spanish, Diced 5mm /Zwiebel, Spanisch, gewürfelt 5 mm",PHF-00-139212-3,PHF,22.84,grams,REC-013918-4-003,"FISH_FREE,NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Rice, Basmati, Brown /Reis, Basmati, braun",DRY-00-139168-5,DRY,22.37,grams,REC-013918-4-003,
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Spice, Ancho Chili Powder /Gewürz, Ancho-Chili-Pulver",SPI-00-139329-5,SPI,0.81,grams,REC-013918-4-003,"FISH_FREE,NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,SPI,0.14,grams,REC-013918-4-003,"NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
FV0131A - Black bean bowl and enchilada sauce [BNL],"FA-DE Spice, Brown Chipotle Chile Powder /Gewürz, braunes Chipotle-Chili-Pulver",SPI-00-139335-5,SPI,0.24,grams,REC-013918-4-003,"FISH_FREE,NATURALLY_GLUTEN_FREE,NATURALLY_LACTOSE_FREE,PORK_FREE,SUITABLE_FOR_COELIACS,SUITABLE_FOR_LACTOSE_INTOLERANCE,VEGAN,VEGETARIAN"
