Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FV0224A - Chicken à la Florentine [DKSE],REC-013963-4-004,R,1,portions,Chicken breast - Herb Grilled Chicken Breast,S,,1,each,,SUB-013545-4-001,MARINADE / GRILL / OVEN / BLAST CHILLER,,,,0.72185,1,HAND_PORTIONED,Hand Portioned,,,4.23288,0.26455,5.86395,0.3665,PCK-00-151923-5,Main,
FV0224A - Chicken à la Florentine [DKSE],REC-013963-4-004,R,1,portions,Sauce - Florentine Cream Sauce,S,,25,grams,,SUB-013962-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,,"MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE",,0.87072,1,SCOOP,purple,LEVEL,,,0.05512,1.01278,0.0633,PCK-00-151923-5,Main,
FV0224A - Chicken à la Florentine [DKSE],REC-013963-4-004,R,1,portions,Spinach - Garlic Spinach - Frzn Spinach - less garlic,S,,60,grams,,SUB-013415-4-001,OVEN / BLAST CHILLER,,SCHWEFELDIOXIDE UND SULFITE,,0.8336,1,SCOOP,red,LEVEL,,,0.13228,2.53891,0.15868,PCK-00-151923-5,Main,
FV0224A - Chicken à la Florentine [DKSE],REC-013963-4-004,R,1,portions,"FA-DE Cheese, Mozzarella, Shredded /Käse, Mozzarella, gerieben",I,DAI-00-139125-3,15,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,1,SCOOP,purple,LEVEL,,,0.03307,0.52911,0.03307,PCK-00-151923-5,Main,
FV0224A - Chicken à la Florentine [DKSE],REC-013963-4-004,R,1,portions,Cauliflower - Chili-Garlic Cauliflower Florets,S,,110,grams,,SUB-013454-4-001,UNCATEGORIZED BOM,"2ND COMPARTMENT
110g Cauliflower

NET WEIGHT: 420g ",SCHWEFELDIOXIDE UND SULFITE,,0.80012,,,,,,,0.24251,4.84945,0.30309,PCK-00-151923-5,2nd,

FV0281A - Baja Salmon [DKSE],REC-014197-4-005,R,1,portions,Mexican Cauliflower Rice,S,,120,grams,,SUB-014051-4-001,OVEN,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment
MAIN COMPARTMENT
120g cauliflower rice
1 ea salmon
6g butter",,,0.76391,1,SCOOP,grey,NATURAL,,,0.26455,5.54109,0.34632,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [DKSE],REC-014197-4-005,R,1,portions,Salmon - BAJA Salmon - Batch,S,,1,each,,SUB-014053-4-001,THAW / HAND MARINADE / OVEN / BLAST CHILLER,,"FISCH, SCHWEFELDIOXIDE UND SULFITE",,0.79681,1,HAND_PORTIONED,Hand Portioned,,,4.23288,0.26455,5.31226,0.33202,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [DKSE],REC-014197-4-005,R,1,portions,Compound butter - Chili-Garlic Butter - master batch,S,,6,grams,,SUB-014054-4-001,PLANETARY MIXER / SCOOPER (BUTTER) / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.97993,1,SCOOP,silver #110,LEVEL,,,0.01323,0.21598,0.0135,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [DKSE],REC-014197-4-005,R,1,portions,Broccoli - S&P Broccoli FLORETS - less salt,S,,85,grams,,SUB-013822-4-001,SPICE PORTIONING / HAND MIX,"2ND COMPARTMENT
85g broccoli florets",,,0.75359,1,SCOOP,grey,LEVEL,,,0.18739,3.97866,0.24867,PCK-00-151924-5,2nd,
