COOK METHODS,Site,Cook Shifts,4 Shifts Before,3 Shifts Before,2 Shifts Before,1 Shift Before,Same Day/Shift
BRINE/IMMERSION BLENDER/MARINADE/OVEN,VF,2,,,STAGING,BRINE/IMMERSION BLENDER/MARINADE,OVEN
DRAIN/OVEN,VF,1,,,,STAGING,OVEN/DRAIN
HAND MIX/OVEN/SPICE PORTIONING,VF,1,,,,STAGING,HAND MIX/OVEN/SPICE PORTIONING
BRINE/GRILL/IMMERSION BLENDER/MARINADE/OVEN,VF,2,,,STAGING,BRINE/MARINADE/SPICE/HAND,GRILL/OVEN
HAND MARINADE/IMMERSION BLENDER/OVEN,VF,1,,,,STAGING,HAND MARINADE/IMMERSION BLENDER/OVEN
BRAISER/SPICE PORTIONING,VF,1,,,,STAGING,BRAISER/SPICE PORTIONING
BRAISER/OVEN/PLANETARY MIXER/SCOOPER (BUTTER),VF,1,,,,STAGING,BRAISER/OVEN/PLANETARY MIXER/SCOOPER (BUTTER)
HAND MIX/PLANETARY MIXER/SCOOPER (BUTTER),VF,1,,,,STAGING,HAND MIX/PLANETARY MIXER/SCOOPER (BUTTER)
COLD SHREDDER/HAND MIX,VF,1,,,,STAGING,SHREDDER/HAND MIX
HAND MIX/SPICE PORTIONING,VF,1,,,,STAGING,HAND MIX/SPICE PORTIONING
HAND MARINADE/OVEN/THAW,VF,3,,STAGING,THAW,,HAND MARINADE/OVEN
