Recipe Name,Recipe ID,Sub-Recipe 1 Name,Sub-Recipe 1 ID,Sub-Recipe 1 Quantity,Sub-Recipe 1 UOM,Sub-Recipe 1 Recipe Categories,Sub-Recipe 2 Name,Sub-Recipe 2 ID,Sub-Recipe 2 Quantity,Sub-Recipe 2 UOM,Sub-Recipe 2 Recipe Categories,Sub-Recipe 3 Name,Sub-Recipe 3 ID,Sub-Recipe 3 Quantity,Sub-Recipe 3 UOM,Sub-Recipe 3 Recipe Categories,Sub-Recipe 4 Name,Sub-Recipe 4 ID,Sub-Recipe 4 Quantity,Sub-Recipe 4 UOM,Sub-Recipe 4 Recipe Categories,Ingredient,Ingredient ID,Gross Ingredient Qty,Net Ingredient Qty,Ingredient UOM,Ingredient Allergen Type,Sub Allergen Type,Sub-Recipe Yield %,Qty Converted to Weight,Qty Unit
Aji Verde Sauce 3 (CUPPED) NO MAYO,SUB-029904-4-001,,,,,,,,,,,,,,,,,,,,,FA-DE Sour Cream /Sauerrahm,DAI-00-139141-3,15.95,15.95,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,,15.95,grams
Aji Verde Sauce 3 (CUPPED) NO MAYO,SUB-029904-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Coriander, Chopped /Koriander, gehackt",PHF-00-139192-3,4.42,4.42,grams,,,,4.42,grams
Aji Verde Sauce 3 (CUPPED) NO MAYO,SUB-029904-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Juice, Lime /Saft, Limette",PRO-00-139268-5,4.03,4.03,grams,,,,4.03,grams
Aji Verde Sauce 3 (CUPPED) NO MAYO,SUB-029904-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,2.84,2.84,grams,,,,2.84,grams
Aji Verde Sauce 3 (CUPPED) NO MAYO,SUB-029904-4-001,"Roasted Diced Jalapenos, Garlic and (less)Cilantro",SUB-029030-4-001,2.13,grams,OVEN,,,,,,,,,,,,,,,,"FA-DE Jalapeno Peppers, Diced 5mm /Jalapeno-Paprikaschoten, gewürfelt, 5 mm",PHF-00-139201-3,0.64,0.64,grams,,,0.74482,0.64,grams
Aji Verde Sauce 3 (CUPPED) NO MAYO,SUB-029904-4-001,"Roasted Diced Jalapenos, Garlic and (less)Cilantro",SUB-029030-4-001,2.13,grams,OVEN,,,,,,,,,,,,,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,0.64,0.64,grams,SCHWEFELDIOXIDE UND SULFITE,,0.74482,0.64,grams
Aji Verde Sauce 3 (CUPPED) NO MAYO,SUB-029904-4-001,"Roasted Diced Jalapenos, Garlic and (less)Cilantro",SUB-029030-4-001,2.13,grams,OVEN,,,,,,,,,,,,,,,,"FA-DE Coriander, Chopped /Koriander, gehackt",PHF-00-139192-3,1.59,1.59,grams,,,0.74482,1.59,grams
Aji Verde Sauce 3 (CUPPED) NO MAYO,SUB-029904-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Minced Garlic, Toasted, Dry /Gewürz, gehackter Knoblauch, geröstet, trocken",SPI-00-139367-5,1.42,1.42,grams,,,,1.42,grams
Aji Verde Sauce 3 (CUPPED) NO MAYO,SUB-029904-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.2,0.2,grams,,,,0.2,grams
Aji Verde Sauce 3 (CUPPED) NO MAYO,SUB-029904-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,0.12,0.12,grams,,,,0.12,grams
Aji Verde Sauce 3 (CUPPED) NO MAYO,SUB-029904-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Jalapeno Powder /Gewürz, Jalapeno-Pulver",SPI-00-139360-5,0.07,0.07,grams,,,,0.07,grams
Basil - Picked Basil Leaves,SUB-013424-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,2840,2840,grams,,,,2840,grams
Basil Kill Step,SUB-024331-4-001,Basil - Picked Basil Leaves,SUB-013424-4-001,1000,grams,"DEBOX, STAGING",,,,,,,,,,,,,,,,"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,1786.16,1786.16,grams,,,0.55986,1786.16,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",,,,,,,,,,,,,,,,"FA-DE Beef, Ground, 80/20 /Rindfleisch, gemahlen, 80/20",PTN-00-139319-3,161.44,161.44,grams,,,0.97143,161.44,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Onion, Spanish, Diced 5mm /Zwiebel, Spanisch, gewürfelt 5 mm",PHF-00-139212-3,7.94,7.94,grams,,,0.94991,7.94,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,4.54,4.54,grams,SCHWEFELDIOXIDE UND SULFITE,,0.94991,4.54,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,3.03,3.03,grams,,,0.94991,3.03,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,2.27,2.27,grams,,,0.94991,2.27,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Spice, Onion Granulated /Gewürze, Zwiebeln granuliert",SPI-00-139370-5,4.54,4.54,grams,,,0.94991,4.54,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Cooked Burger Veggies,SUB-031784-4-001,21.52,grams,"BLAST CHILLER, BRAISER, SPICE PORTIONING",,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.33,0.33,grams,,,0.94991,0.33,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Burger Stock,SUB-031810-4-001,16.75,grams,IMMERSION BLENDER,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,15.28,15.28,grams,,,0.98807,15.28,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Burger Stock,SUB-031810-4-001,16.75,grams,IMMERSION BLENDER,,,,,,,,,,,"FA-DE Stock, Chicken, Reduced/Brühe, Huhn, Reduziert",PRO-00-139288-5,1.09,1.09,grams,,,0.98807,1.09,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,SUB-031783-4-001,194,grams,"BLAST CHILLER, HORIZONTAL MIXER, OVEN, PATTY MAKER",Burger Stock,SUB-031810-4-001,16.75,grams,IMMERSION BLENDER,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.58,0.58,grams,,,0.98807,0.58,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Coriander, Chopped /Koriander, gehackt",PHF-00-139192-3,30.9,30.9,grams,,,0.8673,30.9,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Guajillo Peppers, Ground /Gewürze, Guajillo-Paprikaschoten, gemahlen",SPI-00-139358-5,7.65,7.65,grams,,,0.8673,7.65,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Smoked Paprika /Gewürz, geräucherter Paprika",SPI-00-139383-5,1.42,1.42,grams,,,0.8673,1.42,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,FA-DE Tomato Paste /Tomatenmark,PRO-00-139292-5,130.97,130.97,grams,,,0.8673,130.97,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Onion, Spanish, Diced 5mm /Zwiebel, Spanisch, gewürfelt 5 mm",PHF-00-139212-3,100.07,100.07,grams,,,0.8673,100.07,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Oregano Dry /Gewürz, Oregano trocken",SPI-00-139372-5,1.42,1.42,grams,,,0.8673,1.42,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,38.56,38.56,grams,,,0.8673,38.56,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,1.42,1.42,grams,,,0.8673,1.42,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,208.09,208.09,grams,,,0.8673,208.09,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Brown Chipotle Chile Powder /Gewürz, braunes Chipotle-Chili-Pulver",SPI-00-139335-5,2.27,2.27,grams,,,0.8673,2.27,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Cumin Ground /Gewürz, gemahlener Kreuzkümmel",SPI-00-139345-5,4.54,4.54,grams,,,0.8673,4.54,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Ancho Chili Powder /Gewürz, Ancho-Chili-Pulver",SPI-00-139329-5,7.65,7.65,grams,,,0.8673,7.65,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,3.12,3.12,grams,,,0.8673,3.12,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Bell Peppers, Green, Diced 10mm /Paprika, grün, gewürfelt 10 mm",PHF-00-139176-3,53.86,53.86,grams,,,0.8673,53.86,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,23.25,23.25,grams,SCHWEFELDIOXIDE UND SULFITE,,0.8673,23.25,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Sauce - Red Chili Sauce - Vegetarian,SUB-013614-4-001,566.99,grams,"BLAST CHILLER, BRAISER, IMMERSION BLENDER, SPICE PORTIONING",,,,,,,,,,,,,,,,"FA-DE Vinegar, Apple Cider /Essig, Apfelwein",PRO-00-139299-5,38.56,38.56,grams,,,0.8673,38.56,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Mixed veg - Black Bean Veg for Enchilada Bowl,SUB-013915-4-001,566.99,grams,"BLAST CHILLER, OVEN",,,,,,,,,,,,,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,24.95,24.95,grams,,,0.75709,24.95,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Mixed veg - Black Bean Veg for Enchilada Bowl,SUB-013915-4-001,566.99,grams,"BLAST CHILLER, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,2.27,2.27,grams,,,0.75709,2.27,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Mixed veg - Black Bean Veg for Enchilada Bowl,SUB-013915-4-001,566.99,grams,"BLAST CHILLER, OVEN",,,,,,,,,,,,,,,,"FA-DE Beans, Black, Low Sodium, Aseptic /Bohnen, schwarz, natriumarm, aseptisch",PRO-00-139255-5,667.42,467.19,grams,,,0.75709,467.19,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Mixed veg - Black Bean Veg for Enchilada Bowl,SUB-013915-4-001,566.99,grams,"BLAST CHILLER, OVEN",,,,,,,,,,,,,,,,"FA-DE Bell Peppers, Red, Diced 10mm /Paprika, rot, gewürfelt 10 mm",PHF-00-139179-3,49.9,49.9,grams,,,0.75709,49.9,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Mixed veg - Black Bean Veg for Enchilada Bowl,SUB-013915-4-001,566.99,grams,"BLAST CHILLER, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Chili Powder /Gewürz, Chilipulver",SPI-00-139340-5,2.27,2.27,grams,,,0.75709,2.27,grams
Black Bean Enchilada Mix,SUB-013916-4-001,Mixed veg - Black Bean Veg for Enchilada Bowl,SUB-013915-4-001,566.99,grams,"BLAST CHILLER, OVEN",,,,,,,,,,,,,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,23.25,23.25,grams,SCHWEFELDIOXIDE UND SULFITE,,0.75709,23.25,grams
