Recipe Name,Recipe Code,Sub-Recipe 1 Name,Sub-Recipe 2 Name,Sub-Recipe 3 Name,Ingredient,Ingredient ID,Ingredient Category,Gross Quantity,UOM
Bacon Chicken Casserole,SUB-013488-4-001,Bacon Chicken Casserole Cheese Sauce,,,"FA-DE Cheese, Cream, 13% Fat (Milk) /Käse, Sahne, 13% Fett",DAI-00-139122-3,DAI,7.93,grams
Bacon Chicken Casserole,SUB-013488-4-001,Bacon Chicken Casserole Cheese Sauce,,,"FA-DE Stock, Chicken, Reduced/Brühe, Huhn, Reduziert",PRO-00-139288-5,PRO,0.33,grams
Bacon Chicken Casserole,SUB-013488-4-001,Bacon Chicken Casserole Cheese Sauce,,,"FA-DE Onion, Spanish, Diced 5mm /Zwiebel, Spanisch, gewürfelt 5 mm",PHF-00-139212-3,PHF,4.72,grams
Bacon Chicken Casserole,SUB-013488-4-001,Bacon Chicken Casserole Cheese Sauce,,,FA-DE Water / Wasser,OTH-00-144038-5,OTH,15.33,grams
Bacon Chicken Casserole,SUB-013488-4-001,Bacon Chicken Casserole Cheese Sauce,,,"FA-DE Cheese, White Cheddar, Shredded /Käse, weißer Cheddar, gerieben",DAI-00-139135-3,DAI,16.51,grams
Bacon Chicken Casserole,SUB-013488-4-001,Bacon Chicken Casserole Cheese Sauce,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,PHF,1.83,grams
Bacon Chicken Casserole,SUB-013488-4-001,Bacon Chicken Casserole Cheese Sauce,,,"FA-DE Cheese, Mozzarella, Shredded /Käse, Mozzarella, gerieben",DAI-00-139125-3,DAI,18.34,grams
Bacon Chicken Casserole,SUB-013488-4-001,Bacon Chicken Casserole Cheese Sauce,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,6.68,grams
Bacon Chicken Casserole,SUB-013488-4-001,Thawed & Squeezed Frozen Spinach,,,"FA-DE Spinach, Frozen Leaf/Spinat, gefrorener Blattspinat",PHF-00-139242-1,PHF,27.47,grams
Bacon Chicken Casserole,SUB-013488-4-001,Shredded Ranch Chicken (Loaded Bacon & Spinach),DRY Ranch Seasoning,,"FA-DE Chives, Dried /Schnittlauch, getrocknet",SPI-00-139322-5,SPI,0.15,grams
Bacon Chicken Casserole,SUB-013488-4-001,Shredded Ranch Chicken (Loaded Bacon & Spinach),DRY Ranch Seasoning,,"FA-DE Spice, Onion Granulated /Gewürze, Zwiebeln granuliert",SPI-00-139370-5,SPI,0.41,grams
Bacon Chicken Casserole,SUB-013488-4-001,Shredded Ranch Chicken (Loaded Bacon & Spinach),DRY Ranch Seasoning,,"FA-DE Spice, Buttermilk Powder/Gewürz, Buttermilchpulver",SPI-00-151139-5,SPI,2.24,grams
Bacon Chicken Casserole,SUB-013488-4-001,Shredded Ranch Chicken (Loaded Bacon & Spinach),DRY Ranch Seasoning,,"FA-DE Spice, Parsley Dried /Gewürze, getrocknete Petersilie",SPI-00-139374-5,SPI,0.06,grams
Bacon Chicken Casserole,SUB-013488-4-001,Shredded Ranch Chicken (Loaded Bacon & Spinach),DRY Ranch Seasoning,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,SPI,0.47,grams
Bacon Chicken Casserole,SUB-013488-4-001,Shredded Ranch Chicken (Loaded Bacon & Spinach),DRY Ranch Seasoning,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,SPI,0.24,grams
Bacon Chicken Casserole,SUB-013488-4-001,Shredded Ranch Chicken (Loaded Bacon & Spinach),DRY Ranch Seasoning,,"FA-DE Spice, Dill Dried /Gewürz, Dill getrocknet",SPI-00-139349-5,SPI,0.15,grams
Bacon Chicken Casserole,SUB-013488-4-001,Shredded Ranch Chicken (Loaded Bacon & Spinach),Chicken Thighs - BRINED,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,1.06,grams
Bacon Chicken Casserole,SUB-013488-4-001,Shredded Ranch Chicken (Loaded Bacon & Spinach),Chicken Thighs - BRINED,,"FA-DE Chicken, Thighs, Boneless Skinless /Hähnchen, Oberschenkel, ohne Knochen und ohne Haut",PTN-00-139343-3,PTN,120.56,grams
Bacon Chicken Casserole,SUB-013488-4-001,Shredded Ranch Chicken (Loaded Bacon & Spinach),Chicken Thighs - BRINED,,FA-DE Water / Wasser,OTH-00-144038-5,OTH,120.56,grams
Bacon Chicken Casserole,SUB-013488-4-001,Shredded Ranch Chicken (Loaded Bacon & Spinach),,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,7.53,grams
Bacon Chicken Casserole Cheese Sauce,SUB-013483-4-001,,,,"FA-DE Cheese, Cream, 13% Fat (Milk) /Käse, Sahne, 13% Fett",DAI-00-139122-3,DAI,7.93,grams
Bacon Chicken Casserole Cheese Sauce,SUB-013483-4-001,,,,"FA-DE Stock, Chicken, Reduced/Brühe, Huhn, Reduziert",PRO-00-139288-5,PRO,0.33,grams
Bacon Chicken Casserole Cheese Sauce,SUB-013483-4-001,,,,"FA-DE Onion, Spanish, Diced 5mm /Zwiebel, Spanisch, gewürfelt 5 mm",PHF-00-139212-3,PHF,4.72,grams
Bacon Chicken Casserole Cheese Sauce,SUB-013483-4-001,,,,FA-DE Water / Wasser,OTH-00-144038-5,OTH,15.33,grams
Bacon Chicken Casserole Cheese Sauce,SUB-013483-4-001,,,,"FA-DE Cheese, White Cheddar, Shredded /Käse, weißer Cheddar, gerieben",DAI-00-139135-3,DAI,16.51,grams
Bacon Chicken Casserole Cheese Sauce,SUB-013483-4-001,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,PHF,1.83,grams
Bacon Chicken Casserole Cheese Sauce,SUB-013483-4-001,,,,"FA-DE Cheese, Mozzarella, Shredded /Käse, Mozzarella, gerieben",DAI-00-139125-3,DAI,18.34,grams
Bacon Chicken Casserole Cheese Sauce,SUB-013483-4-001,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,6.68,grams
Basil - Picked Basil Leaves,SUB-013424-4-001,,,,"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,PHF,2840,grams
Basil Kill Step,SUB-024331-4-001,Basil - Picked Basil Leaves,,,"FA-DE Basil, Fresh /Basilikum, frisch",PHF-00-139175-3,PHF,1786.16,grams
Beef Burger Master (each) New,SUB-029965-4-001,,,,FA-DE Water / Wasser,OTH-00-144038-5,OTH,15.83,grams
Beef Burger Master (each) New,SUB-029965-4-001,,,,"FA-DE Stock Concentrate, Classic Reduced Brown /Stammkonzentrat, klassisches, reduziertes Braun",PRO-00-139285-5,PRO,1.1,grams
Beef Burger Master (each) New,SUB-029965-4-001,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,0.79,grams
Beef Burger Master (each) New,SUB-029965-4-001,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,SPI,3.52,grams
Beef Burger Master (each) New,SUB-029965-4-001,Burger Patty Veg,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,PHF,0.12,grams
Beef Burger Master (each) New,SUB-029965-4-001,Burger Patty Veg,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,0.08,grams
Beef Burger Master (each) New,SUB-029965-4-001,Burger Patty Veg,,,"FA-DE Onion, Spanish, Diced 5mm /Zwiebel, Spanisch, gewürfelt 5 mm",PHF-00-139212-3,PHF,0.21,grams
Beef Burger Master (each) New,SUB-029965-4-001,,,,"FA-DE Beef, Ground, 80/20 /Rindfleisch, gemahlen, 80/20",PTN-00-139319-3,PTN,142.42,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,Cooked Burger Veggies,,"FA-DE Spice, Onion Granulated /Gewürze, Zwiebeln granuliert",SPI-00-139370-5,SPI,4.77,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,Cooked Burger Veggies,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,0.35,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,Cooked Burger Veggies,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,3.19,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,Cooked Burger Veggies,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,PHF,4.77,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,Cooked Burger Veggies,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,SPI,2.39,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,Cooked Burger Veggies,,"FA-DE Onion, Spanish, Diced 5mm /Zwiebel, Spanisch, gewürfelt 5 mm",PHF-00-139212-3,PHF,8.35,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,Burger Stock,,"FA-DE Stock, Chicken, Reduced/Brühe, Huhn, Reduziert",PRO-00-139288-5,PRO,1.14,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,Burger Stock,,FA-DE Water / Wasser,OTH-00-144038-5,OTH,16.07,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,Burger Stock,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,0.61,grams
Beef Burger Master EU,SUB-031776-4-001,Burger Patty,,,"FA-DE Beef, Ground, 80/20 /Rindfleisch, gemahlen, 80/20",PTN-00-139319-3,PTN,169.76,grams
Broccoli - Roasted S&P,SUB-016200-4-001,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,SPI,2.5,grams
Broccoli - Roasted S&P,SUB-016200-4-001,,,,"FA-DE Spice, Garlic Powder, Toasted /Gewürz, Knoblauchpulver, geröstet",SPI-00-139354-5,SPI,2,grams
Broccoli - Roasted S&P,SUB-016200-4-001,,,,"FA-DE Broccoli, Florets, /Brokkoli, Röschen",PHF-00-143425-3,PHF,706,grams
Broccoli - Roasted S&P,SUB-016200-4-001,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,51,grams
Broccoli - Roasted S&P,SUB-016200-4-001,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,3,grams
Broccoli - S&P Broccoli FLORETS - less salt,SUB-013822-4-001,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,2.83,grams
Broccoli - S&P Broccoli FLORETS - less salt,SUB-013822-4-001,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,63.85,grams
Broccoli - S&P Broccoli FLORETS - less salt,SUB-013822-4-001,,,,"FA-DE Spice, Garlic Powder, Toasted /Gewürz, Knoblauchpulver, geröstet",SPI-00-139354-5,SPI,2.27,grams
Broccoli - S&P Broccoli FLORETS - less salt,SUB-013822-4-001,,,,"FA-DE Broccoli, Florets, /Brokkoli, Röschen",PHF-00-143425-3,PHF,775.64,grams
Broccoli - S&P Broccoli FLORETS - less salt,SUB-013822-4-001,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,SPI,2.83,grams
Burger Patty,SUB-031783-4-001,Cooked Burger Veggies,,,"FA-DE Spice, Onion Granulated /Gewürze, Zwiebeln granuliert",SPI-00-139370-5,SPI,4.77,grams
Burger Patty,SUB-031783-4-001,Cooked Burger Veggies,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,0.35,grams
Burger Patty,SUB-031783-4-001,Cooked Burger Veggies,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,3.19,grams
Burger Patty,SUB-031783-4-001,Cooked Burger Veggies,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,PHF,4.77,grams
Burger Patty,SUB-031783-4-001,Cooked Burger Veggies,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,SPI,2.39,grams
Burger Patty,SUB-031783-4-001,Cooked Burger Veggies,,,"FA-DE Onion, Spanish, Diced 5mm /Zwiebel, Spanisch, gewürfelt 5 mm",PHF-00-139212-3,PHF,8.35,grams
Burger Patty,SUB-031783-4-001,Burger Stock,,,"FA-DE Stock, Chicken, Reduced/Brühe, Huhn, Reduziert",PRO-00-139288-5,PRO,1.14,grams
Burger Patty,SUB-031783-4-001,Burger Stock,,,FA-DE Water / Wasser,OTH-00-144038-5,OTH,16.07,grams
Burger Patty,SUB-031783-4-001,Burger Stock,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,0.61,grams
Burger Patty,SUB-031783-4-001,,,,"FA-DE Beef, Ground, 80/20 /Rindfleisch, gemahlen, 80/20",PTN-00-139319-3,PTN,169.76,grams
Burger Patty Veg,SUB-029852-4-001,,,,"FA-DE Garlic, IQF, Diced 4 mm /Knoblauch, IQF, gewürfelt 4 mm",PHF-00-139237-1,PHF,3.38,grams
Burger Patty Veg,SUB-029852-4-001,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,2.26,grams
Burger Patty Veg,SUB-029852-4-001,,,,"FA-DE Onion, Spanish, Diced 5mm /Zwiebel, Spanisch, gewürfelt 5 mm",PHF-00-139212-3,PHF,5.98,grams
Burger Stock,SUB-031810-4-001,,,,"FA-DE Stock, Chicken, Reduced/Brühe, Huhn, Reduziert",PRO-00-139288-5,PRO,1.13,grams
Burger Stock,SUB-031810-4-001,,,,FA-DE Water / Wasser,OTH-00-144038-5,OTH,15.88,grams
Burger Stock,SUB-031810-4-001,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,0.6,grams
Cauliflower - Roasted S&P,SUB-016201-4-001,,,,"FA-DE Cauliflower, Florets /Blumenkohl, Röschen",PHF-00-143426-3,PHF,119.63,grams
Cauliflower - Roasted S&P,SUB-016201-4-001,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,SPI,0.48,grams
Cauliflower - Roasted S&P,SUB-016201-4-001,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,SPI,0.28,grams
Cauliflower - Roasted S&P,SUB-016201-4-001,,,,"FA-DE Oil, Olive /Öl, Olivenöl",PRO-00-139277-5,PRO,5.67,grams
Cauliflower rice - Cilantro and Lime Cauliflower Rice - BA,SUB-013733-4-001,,,,"FA-DE Spice, Black Pepper, Ground /Gewürz, schwarzer Pfeffer, gemahlen",SPI-00-139334-5,SPI,0.29,grams
Cauliflower rice - Cilantro and Lime Cauliflower Rice - BA,SUB-013733-4-001,,,,"FA-DE Juice, Lime /Saft, Limette",PRO-00-139268-5,PRO,4.25,grams
