Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,R,1,portions,Mash - Garlic Herb Mashed Cauliflower - Rice,S,,110,grams,,SUB-013551-4-001,HAND MIX / BLAST CHILLER,"110g mash
1 ea chicken
50g sauce
100g broccoli
10g butter
**PLATING INSTRUCTION**

2 COMPARTMENT

MAIN COMPARTMENT: 
110g mash
1 ea chicken
50g sauce

2nd COMPARTMENT
100g broccoli
10g butter

NET WEIGHT = 370g
",MILCH (EINSCHLIESSLICH LAKTOSE),,0.97998,,,,,,,0.24251,3.95939,0.24746,PCK-00-151923-5,Main,
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,R,1,portions,Chicken breast - Sun-Dried Tomato Chicken Batch - Grilled 160g,S,,1,each,,SUB-013572-4-001,MARINADE / GRILL / OVEN / BLAST CHILLER,,,,0.68509,,,,,,4.23288,0.26455,6.17859,0.38616,PCK-00-151923-5,Main,
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,R,1,portions,Sauce - Piccata Sauce - Lower Fat,S,,50,grams,,SUB-013605-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,,"MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE",,0.87052,,,,,,,0.11023,2.02603,0.12663,PCK-00-151923-5,Main,
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,R,1,portions,Broccoli - S&P Broccoli FLORETS - less salt,S,,100,grams,,SUB-013822-4-001,HAND MIX,,,,0.69966,,,,,,,0.22046,5.04162,0.3151,PCK-00-151923-5,Main,
FE0025L - Chicken in lemon-capers sauce [PENDING CULINARY REVIEW],REC-014137-4-012,R,1,portions,Compound butter - Parmesan-Chive,S,,10,grams,,SUB-013536-4-001,PLANETARY MIXER / SCOOPER (BUTTER) / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.9055,,,,,,,0.02205,0.38955,0.02435,PCK-00-151923-5,Main,

FE0031B - Creamy tomato risotto [PENDING CULINARY REVIEW],REC-013939-4-002,R,1,portions,Risotto - Roasted Vegetable Risotto Batch (without wine),S,,250,grams,,SUB-013758-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

3 Compartment

MAIN COMPARTMENT
risotto - 250g
roasted tomatoes - 50g

2ND COMPARTMENT
zucchini & pepper - 80g

3RD COMPARTMENT
IN A CUP - pine nuts - 17g

NET WEIGHT = 397g
incl LAB 401g","MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE",,0.92191,,,,,,,0.55116,9.56542,0.59784,PCK-00-151923-5,Main,
FE0031B - Creamy tomato risotto [PENDING CULINARY REVIEW],REC-013939-4-002,R,1,portions,Tomatoes - Vegetable Risotto Roasted Tomatoes [PENDING CULINARY REVIEW],S,,50,grams,,SUB-013680-4-001,OVEN / BLAST CHILLER,,,,0.89213,,,,,,,0.11023,1.97694,0.12356,PCK-00-151923-5,Main,
FE0031B - Creamy tomato risotto [PENDING CULINARY REVIEW],REC-013939-4-002,R,1,portions,Mixed veg - Tomato & Roasted Vegetable Risotto Zucchini [PENDING CULINARY REVIEW],S,,80,grams,,SUB-013681-4-001,OVEN / BLAST CHILLER,,,,0.89581,,,,,,,0.17637,3.15013,0.19688,PCK-00-151923-5,Main,
FE0031B - Creamy tomato risotto [PENDING CULINARY REVIEW],REC-013939-4-002,R,1,portions,Pinenuts - roasted,S,,17,grams,,SUB-013663-4-001,HAND MARINADE / OVEN / BLAST CHILLER,,,,0.78751,,,,,,,0.03748,0.76146,0.04759,PCK-00-151923-5,Main,

FE0036A - Salmon on cheesy cauliflower rice [PENDING CULINARY REVIEW],REC-013815-4-001,R,1,portions,Cauliflower rice - Blackened Salmon Gouda Grits [PENDING CULINARY REVIEW],S,,100,grams,,SUB-013814-4-001,SPICE PORTIONING / BRAISER / BLAST CHILLER,"GOUDA CAULIFLOWER GRITS
100 G PER PLATE (BEIGE SCOOP)
BLACKENED SALMON
1 EA PER PLATE = 115 G
CAJUN TOMATO GRAVY
45 G PER PLATE (RED SCOOP)
BROCCOLI
85 G PER PLATE
***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
gouda grits = 100g
salmon 1 EA = 115g

2ND COMPARTMENT
tomato gravy = 45g (red scoop)
broccoli = 85g

NET WEIGHT: 345g","MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE",,0.94225,,,,,,,0.22046,3.7436,0.23397,PCK-00-151923-5,Main,
FE0036A - Salmon on cheesy cauliflower rice [PENDING CULINARY REVIEW],REC-013815-4-001,R,1,portions,Salmon - Blackened Salmon Batch,S,,1,each,,SUB-013797-4-001,THAW / HAND MARINADE / OVEN / BLAST CHILLER,,FISCH,,0.80352,,,,,,4.05651,0.25353,5.04841,0.31553,PCK-00-151923-5,Main,
FE0036A - Salmon on cheesy cauliflower rice [PENDING CULINARY REVIEW],REC-013815-4-001,R,1,portions,Sauce - Cajun Tomato Gravy [PENDING CULINARY REVIEW],S,,45,grams,,SUB-013798-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,,"MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE, SELLERIE",,0.90576,,,,,,,0.09921,1.75247,0.10953,PCK-00-151923-5,Main,
