Recipe Name,Recipe ID,Sub-Recipe 1 Name,Sub-Recipe 1 ID,Sub-Recipe 1 Quantity,Sub-Recipe 1 UOM,Sub-Recipe 1 Recipe Categories,Sub-Recipe 2 Name,Sub-Recipe 2 ID,Sub-Recipe 2 Quantity,Sub-Recipe 2 UOM,Sub-Recipe 2 Recipe Categories,Sub-Recipe 3 Name,Sub-Recipe 3 ID,Sub-Recipe 3 Quantity,Sub-Recipe 3 UOM,Sub-Recipe 3 Recipe Categories,Sub-Recipe 4 Name,Sub-Recipe 4 ID,Sub-Recipe 4 Quantity,Sub-Recipe 4 UOM,Sub-Recipe 4 Recipe Categories,Ingredient,Ingredient ID,Gross Ingredient Qty,Net Ingredient Qty,Ingredient UOM,Ingredient Allergen Type,Sub Allergen Type,Sub-Recipe Yield %,Qty Converted to Weight,Qty Unit
43 ° Hot Water for Veg Marinade,SUB-032153-4-001,,,,,,,,,,,,,,,,,,,,,FA-DE Water / Wasser,OTH-00-144038-5,500,500,grams,,,,500,grams
AP - Roasted diced Carrots,SUB-033716-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Carrots, Diced 10mm /Karotten, gewürfelt, 10 mm",PHF-00-139186-3,200,200,grams,,,,200,grams
AP - Roasted diced Carrots,SUB-033716-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Oil, Roasted Garlic / Öl, Gerösteter Knoblauch",PRO-00-144040-5,24,24,grams,,,,24,grams
AP - Roasted diced Carrots,SUB-033716-4-001,Ancho - Paprika Vegetable Spice Rub,SUB-033715-4-001,6,grams,"DEBOX, STAGING",,,,,,,,,,,,,,,,"FA-DE Spice, Black Pepper, Cracked /Gewürz, schwarzer Pfeffer, gebrochen",SPI-00-139332-5,0.36,0.36,grams,,,1.0,0.36,grams
AP - Roasted diced Carrots,SUB-033716-4-001,Ancho - Paprika Vegetable Spice Rub,SUB-033715-4-001,6,grams,"DEBOX, STAGING",,,,,,,,,,,,,,,,"FA-DE Spice, Smoked Paprika /Gewürz, geräucherter Paprika",SPI-00-139383-5,1.15,1.15,grams,,,1.0,1.15,grams
AP - Roasted diced Carrots,SUB-033716-4-001,Ancho - Paprika Vegetable Spice Rub,SUB-033715-4-001,6,grams,"DEBOX, STAGING",,,,,,,,,,,,,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,1.47,1.47,grams,,,1.0,1.47,grams
AP - Roasted diced Carrots,SUB-033716-4-001,Ancho - Paprika Vegetable Spice Rub,SUB-033715-4-001,6,grams,"DEBOX, STAGING",,,,,,,,,,,,,,,,"FA-DE Spice, Mustard Seed Ground, Dry /Gewürz, Senfkörner gemahlen, Trockenmasse",SPI-00-139369-5,0.19,0.19,grams,SENF,,1.0,0.19,grams
AP - Roasted diced Carrots,SUB-033716-4-001,Ancho - Paprika Vegetable Spice Rub,SUB-033715-4-001,6,grams,"DEBOX, STAGING",,,,,,,,,,,,,,,,"FA-DE Spice, Cumin Ground /Gewürz, gemahlener Kreuzkümmel",SPI-00-139345-5,1.07,1.07,grams,,,1.0,1.07,grams
AP - Roasted diced Carrots,SUB-033716-4-001,Ancho - Paprika Vegetable Spice Rub,SUB-033715-4-001,6,grams,"DEBOX, STAGING",,,,,,,,,,,,,,,,"FA-DE Spice, Ancho Chili Powder /Gewürz, Ancho-Chili-Pulver",SPI-00-139329-5,1.76,1.76,grams,,,1.0,1.76,grams
AP - Roasted diced Carrots,SUB-033716-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, (Beech) Smoked Salt",SPI-00-169830-5,0.8,0.8,grams,,,,0.8,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.28,0.28,grams,,,,0.28,grams
Adobo Paste [PENDING CULINARY REVIEW],SUB-013361-4-001,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Paprika /Gewürze, Paprika",SPI-00-139373-5,1.7,1.7,grams,,,,1.7,grams
