"305","","","UPDATED ASSUMPTIONS: 02.10.24","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals"
"","","","Conversion growth % WoW","-","109.72%","-28.41%","-14.82%","4.70%","","","","","","315.00%","127.37%","-6.74%","-25.24%","10.31%","-22.44%","27.03%","-0.30%","-14.93%","-1.06%","-19.88%","-7.58%","-3.54%","12.67%","-24.41%","-24.27%","11.37%","59.40%","-4.08%","-6.07%","6.79%","-10.44%","12.16%","-11.45%","-6.80%","9.85%","24.09%","-7.10%","0.43%","5.02%","13.52%","-14.56%","-13.80%","3.92%","23.74%","17.15%","3.69%","-6.38%","7.60%","-11.94%","-12.62%","4.05%","1.04%","7.06%","4.68%","-20.27%","-14.22%","-8.71%","-17.61%","-22.49%","-34.48%","33.33%","8.55%"
"","","Total Meals ","","4,770","12,032","9,446","8,410","9,056","8,029","7,789","7,731","4,070","4,248","8,632","16,077","17,970","18,593","20,424","20,714","22,192","23,984","22,951","23,880","22779","21582","21144","22510","19821","16471","18291","19387","20809","21120","20121","20394","20514","21167","20437","20366","21754","21852","21330","21452","22823","21971","21211","20995","21671","23725","24554","25731","26277","27914","26512","26496","26106","27296","28393","26955","25368","24885","23493","20357","12473","13120","18009"
"","","","Orders","4770","12032","9446","8410","9056","8029","7789","7731","4070","4248","8632","16077","17970","18593","20424","20714","22192","23984","22951","23880","22779","21582","21144","22510","19821","16471","18291","19387","20809","21120","20121","20394","20514","21167","20437","20366","21754","21852","21330","21452","22823","21971","21211","20995","21671","23725","24554","25731","26277","27914","26512","26496","26106","27296","28393","26955","25368","24885","23493","20357","12473","13120","18009"
"","","","Additional Samples / Adjustments","","","","","","1254.53%","1216.98%","1207.92%","635.94%","6.6375","13.48771875","2511.95%","2807.74%","2905.11%","3191.25%","3236.58%","3467.50%","3747.52%","","","","","","","","","","","","","","","32","33","32","32","68","68","67","67","71","69","66","66","68","74","77","80","82","87","83","83","82","85","89","84","","","","","","",""
"","","Total Addons","","7.4534375","18.7995","14.76","13.14","14.14998813","12.5453125","12.16984375","12.07921875","6.359375","","","","","","","","","","","","997.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Conversions % of total orders","100.0%","90.5%","79.5%","76.1%","78.5%","70.3%","57.5%","43.1%","56.4%","23.7%","48.9%","64.9%","55.7%","39.6%","39.8%","30.9%","36.1%","33.7%","29.9%","28.3%","23.6%","23.2%","23.0%","24.3%","20.5%","19.0%","18.8%","28.1%","25.7%","23.6%","26.6%","23.5%","26.4%","22.7%","21.7%","22.1%","26.0%","23.7%","24.5%","25.4%","27.5%","24.2%","21.5%","22.6%","27.0%","29.0%","","","","","","","","","","","","","","","","",""
"","","","Pause (% of prior week)","#DIV/0!","33.5%","26.8%","28.1%","25.6%","26.9%","30.2%","30.7%","46.4%","53.1%","34.6%","28.1%","27.3%","27.3%","28.7%","27.1%","29.0%","28.9%","30.1%","29.6%","32.1%","34.9%","34.9%","35.6%","37.5%","43.7%","37.6%","40.7%","36.8%","38.0%","40.2%","38.3%","41.8%","38.0%","39.1%","39.6%","38.3%","37.5%","37.3%","36.9%","37.6%","37.6%","36.5%","39.3%","38.8%","39.3%","","","","","","","","","","","","","","","","",""
"","","","Pause (% of total)","0.0%","12.9%","27.7%","31.5%","28.1%","31.5%","33.1%","34.4%","59.2%","54.8%","29.1%","19.9%","23.9%","26.9%","27.9%","29.0%","28.8%","29.1%","32.3%","31.1%","34.3%","37.5%","37.9%","36.4%","41.0%","48.7%","42.0%","41.2%","38.5%","39.0%","42.0%","41.1%","43.0%","40.7%","41.9%","40.0%","39.5%","38.9%","40.1%","39.7%","39.0%","41.0%","40.6%","42.0%","41.2%","40.2%","","","","","","","","","","","","","","","","",""
"","","","Cancel (% of prior week)","#DIV/0!","35.9%","55.7%","43.4%","47.3%","42.0%","32.9%","31.2%","24.3%","13.0%","11.2%","20.9%","24.2%","20.3%","20.0%","19.4%","17.7%","16.9%","18.7%","15.9%","15.2%","14.6%","14.6%","12.8%","14.4%","12.9%","11.4%","13.1%","12.9%","11.9%","14.1%","13.0%","13.6%","12.7%","12.8%","12.1%","11.9%","11.6%","12.2%","12.4%","13.0%","11.5%","12.6%","11.3%","12.8%","10.6%","","","","","","","","","","","","","","","","",""
"","","","Reactivation (% of prior week)","#REF!","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","",""
"","","","Net Cancellation %","#DIV/0!","35.9%","55.7%","43.4%","47.3%","42.0%","32.9%","31.2%","24.3%","13.0%","11.2%","20.9%","24.2%","20.3%","20.0%","19.4%","17.7%","16.9%","18.7%","15.9%","15.2%","14.6%","14.6%","12.8%","14.4%","12.9%","11.4%","13.1%","12.9%","11.9%","14.1%","13.0%","13.6%","12.7%","12.8%","12.1%","11.9%","11.6%","12.2%","12.4%","13.0%","11.5%","12.6%","11.3%","12.8%","10.6%","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Revenue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Meals GR","","€45,445.66","€112,078.72","€88,175.79","€78,761.61","€83,987.46","€74,143.83","€72,143.84","€70,992.16","€37,489.03","€40,215.51","€82,854.54","€145,652.00","€161,246.72","€166,773.70","€183,267.71","€184,696.36","€198,932.63","€214,738.41","€206,308.79","€215,376.78","€204,816.35","€194,231.23","€190,119.27","€202,208.04","€177,978.45","€147,637.59","€164,456.48","€175,190.03","€186,887.61","€190,480.51","€180,756.04","€183,481.29","€184,476.42","€190,402.09","€183,649.08","€185,672.75","€197,957.51","€199,194.68","€194,159.56","€195,714.05","€207,740.89","€200,147.14","€193,400.06","€191,425.20","€197,721.93","€216,205.12","€223,717.74","€234,675.62","€239,654.35","€250,055.63","€237,184.62","€237,646.53","€233,447.07","€245,453.01","€259,165.30","€242,497.30","€233,970.00","€231,914.49","€217,457.00","€186,343.87","€112,623.90","€118,629.23","€163,392.64"
"","","Shipping GR","","€4,684.18","€10,853.88","€8,841.24","€7,870.86","€7,990.66","€6,870.53","€6,571.03","€6,343.41","€3,294.50","€3,534.10","€7,122.11","€12,189.65","€13,255.87","€13,938.73","€15,292.47","€15,280.49","€16,616.26","€17,736.39","€17,035.56","€17,784.33","€17,077.49","€16,059.19","€15,597.96","€16,646.21","€14,897.13","€12,225.59","€13,747.05","€14,621.59","€15,388.31","€15,681.82","€14,861.19","€15,118.76","€15,076.83","€15,538.06","€15,094.80","€16,334.73","€17,239.22","€17,508.77","€17,035.56","€17,275.16","€18,125.74","€17,538.72","€17,011.60","€16,837.89","€17,448.87","€19,024.24","€19,689.13","€20,653.52","€21,091.69","€20,366.00","€19,533.39","€19,521.41","€19,257.85","€20,210.26","€21,048.86","€19,695.12","€18,994.29","€18,844.54","€17,790.30","€15,280.49","€9,122.77","€9,811.62","€13,603.29"
"","","Add-Ons GR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total Weekly GR","","€50,129.84","€122,932.60","€97,017.03","€86,632.47","€91,978.12","€81,014.36","€78,714.87","€77,335.57","€40,783.53","€43,749.61","€89,976.65","€157,841.65","€174,502.59","€180,712.43","€198,560.18","€199,976.85","€215,548.89","€232,474.80","€223,344.35","€233,161.11","€221,893.84","€210,290.42","€205,717.23","€218,854.25","€192,875.58","€159,863.18","€178,203.53","€189,811.62","€202,275.92","€206,162.33","€195,617.23","€198,600.05","€199,553.25","€205,940.15","€198,743.88","€202,007.48","€215,196.73","€216,703.45","€211,195.12","€212,989.21","€225,866.63","€217,685.86","€210,411.66","€208,263.09","€215,170.80","€235,229.36","","","","","","","","","","","","","","","","€128,440.85","€176,995.93"
"","","","Annualized Weekly GR","€2,606,751.65","€6,392,495.37","€5,044,885.47","€4,504,888.41","€4,782,862.14","€4,212,746.98","€4,093,173.17","€4,021,449.62","€2,120,743.71","€2,274,979.62","€4,678,786.05","€8,207,765.76","€9,074,134.55","€9,397,046.25","€10,325,129.50","€10,398,796.16","€11,208,542.16","€12,088,689.39","€11,613,906.11","€12,124,377.79","€11,538,479.55","€10,935,101.98","€10,697,296.18","€11,380,420.89","€10,029,530.39","€8,312,885.27","€9,266,583.69","€9,870,204.14","€10,518,347.75","€10,720,441.27","€10,172,095.89","€10,327,202.42","€10,376,769.11","€10,708,887.81","€10,334,681.62","€10,504,389.10","€11,190,230.18","€11,268,579.43","€10,982,146.32","€11,075,439.14","€11,745,064.52","€11,319,664.47","€10,941,406.22","€10,829,680.59","€11,188,881.68","€12,231,926.73","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Meals AOV","","€58.11","€61.85","€59.74","€59.94","€62.96","€64.64","€65.76","€67.04","€68.16","€68.16","€69.68","€71.57","€72.86","€71.67","€71.79","€72.40","€71.71","€72.52","€72.54","€72.54","€71.84","€72.45","€73.01","€72.76","€71.56","€72.34","€71.66","€71.77","€72.75","€72.76","€72.86","€72.69","€73.29","€73.40","€72.88","€68.09","€68.78","€68.15","€68.27","€67.86","€68.65","€68.36","€68.10","€68.10","€67.88","€68.07","€68.06","€68.06","€68.06","€73.55","€72.73","€72.92","€72.61","€72.75","€73.75","€73.75","€73.78","€73.72","€73.22","€73.05","€73.95","€72.42","€71.95"
"","","Shipping AOV","","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99"
"","","Add-Ons AOV","","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00"
"","","Total Gross AOV","","€64.10","€67.84","€65.73","€65.93","€68.95","€70.63","€71.75","€73.03","€74.15","€74.15","€75.67","€77.56","€78.85","€77.66","€77.78","€78.39","€77.70","€78.51","€78.53","€78.53","€77.83","€78.44","€79.00","€78.75","€77.55","€78.33","€77.65","€77.76","€78.74","€78.75","€78.85","€78.68","€79.28","€79.39","€78.87","€74.08","€74.77","€74.14","€74.26","€73.85","€74.64","€74.35","€74.09","€74.09","€73.87","€74.06","€74.05","€74.05","€74.05","€79.54","€78.72","€78.91","€78.60","€78.74","€79.74","€79.74","€79.77","€79.71","€79.21","€79.04","€79.94","€78.41","€77.94"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403,319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Model Drivers","","","Box size distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Meals per Box","","6.10","6.64","6.40","6.40","6.79","7.00","7.10","7.30","7.40","7.20","7.26","7.90","8.12","7.99","8.00","8.12","8.00","8.10","8.07","8.04","7.99","8.05","8.12","8.10","7.97","8.07","7.97","7.94","8.10","8.07","8.11","8.08","8.15","8.16","8.11","7.47","7.56","7.48","7.50","7.44","7.54","7.50","7.47","7.47","7.44","7.47","7.47","7.46","7.46","8.21","8.13","8.13","8.12","8.09","8.08","8.20","8.00","7.91","7.91","7.98","8.19","8.01","7.93"
"","","","6","94.25%","83.00%","85.98%","86.15%","76.01%","70.71%","67.18%","61.00%","56.28%","56.28%","52.36%","45.45%","41.98%","44.69%","44.93%","41.43%","44.52%","43.06%","43.64%","43.64%","44.93%","44.01%","43.20%","43.43%","44.87%","42.23%","44.92%","45.51%","43.36%","44.16%","47.20%","48.22%","47.24%","48.00%","48.93%","52.99%","51.32%","53.20%","53.16%","53.26%","52.45%","52.73%","55.07%","55.07%","56.16%","54.63%","55.40%","55.40%","55.40%","51.74%","52.44%","52.50%","50.89%","51.27%","46.13%","46.13%","45.54%","44.56%","47.47%","48.45%","47.54%","51.16%","53.76%"
"","","","8","4.60%","5.00%","10.84%","10.35%","15.82%","19.01%","20.05%","24.55%","28.05%","28.05%","28.96%","33.91%","33.03%","33.22%","32.90%","34.22%","32.41%","33.03%","33.16%","33.16%","32.94%","32.30%","32.45%","32.75%","33.45%","35.08%","33.25%","32.32%","32.89%","32.47%","27.81%","26.90%","26.74%","25.67%","25.08%","26.37%","25.75%","25.73%","25.00%","26.73%","24.92%","25.58%","22.87%","22.87%","22.00%","23.08%","22.70%","22.70%","22.70%","19.50%","19.87%","19.85%","21.56%","21.16%","24.19%","24.19%","25.10%","26.48%","24.48%","23.60%","22.59%","21.86%","20.21%"
"","","","10","0.77%","10.00%","2.03%","1.90%","4.35%","4.97%","6.65%","7.65%","7.47%","7.47%","9.60%","10.12%","11.48%","10.31%","10.34%","11.05%","10.49%","10.74%","10.34%","10.34%","10.42%","11.56%","10.98%","10.47%","10.09%","10.53%","10.20%","10.57%","11.09%","10.58%","11.04%","11.17%","11.64%","11.72%","11.79%","14.92%","16.71%","15.22%","16.00%","14.84%","15.83%","15.40%","15.65%","15.65%","15.52%","16.81%","15.73%","15.73%","15.73%","12.03%","12.33%","11.94%","12.85%","12.42%","13.86%","13.86%","14.16%","13.80%","13.47%","13.68%","14.12%","13.49%","12.29%"
"","","","12","0.13%","1.00%","0.75%","0.99%","1.72%","1.92%","2.28%","3.02%","3.46%","3.46%","4.04%","4.08%","6.42%","5.20%","4.50%","5.57%","5.19%","4.83%","5.10%","5.10%","4.14%","4.81%","5.30%","5.00%","4.99%","4.95%","4.92%","4.26%","5.45%","5.58%","5.88%","5.47%","5.44%","5.67%","5.91%","5.68%","6.12%","5.78%","5.80%","5.17%","6.74%","6.28%","6.37%","6.37%","6.28%","5.42%","5.66%","5.66%","5.66%","6.44%","6.04%","6.20%","6.19%","6.34%","6.63%","6.63%","6.34%","7.06%","6.26%","5.88%","6.37%","5.31%","5.28%"
"","","","14","0.13%","1.00%","0.14%","0.30%","0.75%","1.39%","1.64%","1.70%","3.46%","3.46%","2.19%","2.51%","3.03%","2.58%","2.98%","2.98%","3.03%","3.61%","3.62%","3.62%","3.40%","3.47%","3.69%","3.63%","3.10%","3.28%","3.05%","3.11%","3.43%","3.13%","3.35%","3.76%","4.13%","3.62%","3.29%","0.04%","0.10%","0.07%","0.04%","0.00%","0.07%","0.00%","0.04%","0.04%","0.03%","0.06%","0.40%","0.40%","0.40%","4.12%","3.65%","3.77%","3.20%","3.29%","4.01%","4.01%","3.91%","4.04%","3.60%","3.61%","3.87%","3.72%","3.70%"
"","","","16","0.13%","0.00%","0.20%","0.30%","1.35%","2.01%","2.19%","2.08%","1.28%","1.28%","2.86%","3.88%","3.66%","3.61%","3.92%","3.88%","3.64%","4.12%","3.87%","3.87%","3.79%","3.66%","4.15%","4.32%","3.18%","3.58%","3.36%","3.89%","3.70%","4.09%","4.64%","4.44%","4.77%","5.32%","4.92%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.09%","0.09%","0.09%","5.91%","5.34%","5.49%","4.95%","5.19%","4.70%","4.70%","4.60%","3.81%","4.48%","4.55%","5.25%","4.33%","4.58%"
"","","","18","","","","","0.00","","","0.00","0.00","","0.00%","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Box Breakdown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Box S - 6 Meal","737","1504","1269","1132","1014","811","737","646","310","332","623","925","929","1040","1147","1057","1235","1275","1241","1296","1281","1180","1125","1207","1116","862","1031","1111","1114","1156","1171","1217","1189","1245","1233","1445","1477","1555","1512","1536","1587","1544","1564","1548","1636","1735","1821","1910","1951","1759","1710","1711","1636","1730","1621","1517","1444","1402","1410","1236","724","838",""
"","","","Box S - 8 Meal","36","91","160","136","211","218","220","260","154","165","344","690","731","773","840","873","899","978","943","985","939","866","845","910","832","716","763","789","845","850","690","679","673","666","632","719","741","752","711","771","754","749","650","643","641","733","746","783","799","663","648","647","693","714","850","795","796","833","727","602","344","358",""
"","","","Box M - 10 Meal","6","181","30","25","58","57","73","81","41","44","114","206","254","240","264","282","291","318","294","307","297","310","286","291","251","215","234","258","285","277","274","282","293","304","297","407","481","445","455","428","479","451","444","440","452","534","517","542","554","409","402","389","413","419","487","456","449","434","400","349","215","221",""
"","","","Box M - 12 Meal","1","18","11","13","23","22","25","32","19","20","48","83","142","121","115","142","144","143","145","151","118","129","138","139","124","101","113","104","140","146","146","138","137","147","149","155","176","169","165","149","204","184","181","179","183","172","186","195","199","219","197","202","199","214","233","218","201","222","186","150","97","87",""
"","","","Box L - 14 Meal","1","18","2","4","10","16","18","18","19","20","26","51","67","60","76","76","84","107","103","107","97","93","96","101","77","67","70","76","88","82","83","95","104","94","83","1","3","2","1","0","2","0","1","1","1","2","13","14","14","140","119","123","103","111","141","132","124","127","107","92","59","61",""
"","","","Box L - 16 Meal","1","0","3","4","18","23","24","22","7","8","34","79","81","84","100","99","101","122","110","115","108","98","108","120","79","73","77","95","95","107","115","112","120","138","124","0","0","0","0","0","0","0","0","0","0","0","3","3","3","201","174","179","159","175","165","155","146","120","133","116","80","71",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Total S-Boxes","773","1595","1429","1268","1225","1029","957","906","464","498","967","1615","1660","1813","1987","1930","2134","2253","2184","2280","2220","2046","1970","2117","1948","1578","1794","1900","1959","2006","1861","1896","1862","1911","1865","2164","2218","2307","2223","2307","2341","2293","2213","2191","2277","2468","2567","2693","2750","2422","2358","2358","2329","2444","2471","2312","2240","2235","2137","1838","1068","1196",""
