"305","","","UPDATED ASSUMPTIONS: 02.10.24","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals",""
"","","","Conversion growth % WoW","-","109.72%","-28.41%","-14.82%","4.70%","","","","","","315.00%","127.37%","-6.74%","-25.24%","10.31%","-22.44%","27.03%","-0.30%","-14.93%","-1.06%","-19.88%","-7.58%","-3.54%","12.67%","-24.41%","-24.27%","11.37%","59.40%","-4.08%","-6.07%","6.79%","-10.44%","12.16%","-11.45%","-6.80%","9.85%","24.09%","-7.10%","0.43%","5.02%","13.52%","-14.56%","-13.80%","3.92%","23.74%","17.15%","3.69%","-6.38%","7.60%","-11.94%","-12.62%","4.05%","1.04%","7.06%","4.68%","-20.27%","-14.22%","-8.71%","-17.61%","-22.49%","-34.48%","33.33%","8.55%",""
"","","Total Meals ","","4,770","12,032","9,446","8,410","9,056","8,029","7,789","7,731","4,070","4,248","8,632","16,077","17,970","18,593","20,424","20,714","22,192","23,984","22,951","23,880","22779","21582","21144","22510","19821","16471","18291","19387","20809","21120","20121","20394","20514","21167","20437","20366","21754","21852","21330","21452","22823","21971","21211","20995","21671","23725","24554","25731","26277","27914","26512","26496","26106","27296","28393","26955","25368","24885","23493","20357","12473","13120","18009",""
"","","","Orders","4770","12032","9446","8410","9056","8029","7789","7731","4070","4248","8632","16077","17970","18593","20424","20714","22192","23984","22951","23880","22779","21582","21144","22510","19821","16471","18291","19387","20809","21120","20121","20394","20514","21167","20437","20366","21754","21852","21330","21452","22823","21971","21211","20995","21671","23725","24554","25731","26277","27914","26512","26496","26106","27296","28393","26955","25368","24885","23493","20357","12473","13120","18009",""
"","","","Additional Samples / Adjustments","","","","","","1254.53%","1216.98%","1207.92%","635.94%","6.6375","13.48771875","2511.95%","2807.74%","2905.11%","3191.25%","3236.58%","3467.50%","3747.52%","","","","","","","","","","","","","","","32","33","32","32","68","68","67","67","71","69","66","66","68","74","77","80","82","87","83","83","82","85","89","84","","","","","","","",""
"","","Total Addons","","7.4534375","18.7995","14.76","13.14","14.14998813","12.5453125","12.16984375","12.07921875","6.359375","","","","","","","","","","","","997.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Conversions % of total orders","100.0%","90.5%","79.5%","76.1%","78.5%","70.3%","57.5%","43.1%","56.4%","23.7%","48.9%","64.9%","55.7%","39.6%","39.8%","30.9%","36.1%","33.7%","29.9%","28.3%","23.6%","23.2%","23.0%","24.3%","20.5%","19.0%","18.8%","28.1%","25.7%","23.6%","26.6%","23.5%","26.4%","22.7%","21.7%","22.1%","26.0%","23.7%","24.5%","25.4%","27.5%","24.2%","21.5%","22.6%","27.0%","29.0%","","","","","","","","","","","","","","","","","",""
"","","","Pause (% of prior week)","#DIV/0!","33.5%","26.8%","28.1%","25.6%","26.9%","30.2%","30.7%","46.4%","53.1%","34.6%","28.1%","27.3%","27.3%","28.7%","27.1%","29.0%","28.9%","30.1%","29.6%","32.1%","34.9%","34.9%","35.6%","37.5%","43.7%","37.6%","40.7%","36.8%","38.0%","40.2%","38.3%","41.8%","38.0%","39.1%","39.6%","38.3%","37.5%","37.3%","36.9%","37.6%","37.6%","36.5%","39.3%","38.8%","39.3%","","","","","","","","","","","","","","","","","",""
"","","","Pause (% of total)","0.0%","12.9%","27.7%","31.5%","28.1%","31.5%","33.1%","34.4%","59.2%","54.8%","29.1%","19.9%","23.9%","26.9%","27.9%","29.0%","28.8%","29.1%","32.3%","31.1%","34.3%","37.5%","37.9%","36.4%","41.0%","48.7%","42.0%","41.2%","38.5%","39.0%","42.0%","41.1%","43.0%","40.7%","41.9%","40.0%","39.5%","38.9%","40.1%","39.7%","39.0%","41.0%","40.6%","42.0%","41.2%","40.2%","","","","","","","","","","","","","","","","","",""
"","","","Cancel (% of prior week)","#DIV/0!","35.9%","55.7%","43.4%","47.3%","42.0%","32.9%","31.2%","24.3%","13.0%","11.2%","20.9%","24.2%","20.3%","20.0%","19.4%","17.7%","16.9%","18.7%","15.9%","15.2%","14.6%","14.6%","12.8%","14.4%","12.9%","11.4%","13.1%","12.9%","11.9%","14.1%","13.0%","13.6%","12.7%","12.8%","12.1%","11.9%","11.6%","12.2%","12.4%","13.0%","11.5%","12.6%","11.3%","12.8%","10.6%","","","","","","","","","","","","","","","","","",""
"","","","Reactivation (% of prior week)","#REF!","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","",""
"","","","Net Cancellation %","#DIV/0!","35.9%","55.7%","43.4%","47.3%","42.0%","32.9%","31.2%","24.3%","13.0%","11.2%","20.9%","24.2%","20.3%","20.0%","19.4%","17.7%","16.9%","18.7%","15.9%","15.2%","14.6%","14.6%","12.8%","14.4%","12.9%","11.4%","13.1%","12.9%","11.9%","14.1%","13.0%","13.6%","12.7%","12.8%","12.1%","11.9%","11.6%","12.2%","12.4%","13.0%","11.5%","12.6%","11.3%","12.8%","10.6%","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Revenue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Meals GR","","€45,445.66","€112,078.72","€88,175.79","€78,761.61","€83,987.46","€74,143.83","€72,143.84","€70,992.16","€37,489.03","€40,215.51","€82,854.54","€145,652.00","€161,246.72","€166,773.70","€183,267.71","€184,696.36","€198,932.63","€214,738.41","€206,308.79","€215,376.78","€204,816.35","€194,231.23","€190,119.27","€202,208.04","€177,978.45","€147,637.59","€164,456.48","€175,190.03","€186,887.61","€190,480.51","€180,756.04","€183,481.29","€184,476.42","€190,402.09","€183,649.08","€185,672.75","€197,957.51","€199,194.68","€194,159.56","€195,714.05","€207,740.89","€200,147.14","€193,400.06","€191,425.20","€197,721.93","€216,205.12","€223,717.74","€234,675.62","€239,654.35","€250,055.63","€237,184.62","€237,646.53","€233,447.07","€245,453.01","€259,165.30","€242,497.30","€233,970.00","€231,914.49","€217,457.00","€186,343.87","€112,623.90","€118,629.23","€163,392.64",""
"","","Shipping GR","","€4,684.18","€10,853.88","€8,841.24","€7,870.86","€7,990.66","€6,870.53","€6,571.03","€6,343.41","€3,294.50","€3,534.10","€7,122.11","€12,189.65","€13,255.87","€13,938.73","€15,292.47","€15,280.49","€16,616.26","€17,736.39","€17,035.56","€17,784.33","€17,077.49","€16,059.19","€15,597.96","€16,646.21","€14,897.13","€12,225.59","€13,747.05","€14,621.59","€15,388.31","€15,681.82","€14,861.19","€15,118.76","€15,076.83","€15,538.06","€15,094.80","€16,334.73","€17,239.22","€17,508.77","€17,035.56","€17,275.16","€18,125.74","€17,538.72","€17,011.60","€16,837.89","€17,448.87","€19,024.24","€19,689.13","€20,653.52","€21,091.69","€20,366.00","€19,533.39","€19,521.41","€19,257.85","€20,210.26","€21,048.86","€19,695.12","€18,994.29","€18,844.54","€17,790.30","€15,280.49","€9,122.77","€9,811.62","€13,603.29",""
"","","Add-Ons GR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total Weekly GR","","€50,129.84","€122,932.60","€97,017.03","€86,632.47","€91,978.12","€81,014.36","€78,714.87","€77,335.57","€40,783.53","€43,749.61","€89,976.65","€157,841.65","€174,502.59","€180,712.43","€198,560.18","€199,976.85","€215,548.89","€232,474.80","€223,344.35","€233,161.11","€221,893.84","€210,290.42","€205,717.23","€218,854.25","€192,875.58","€159,863.18","€178,203.53","€189,811.62","€202,275.92","€206,162.33","€195,617.23","€198,600.05","€199,553.25","€205,940.15","€198,743.88","€202,007.48","€215,196.73","€216,703.45","€211,195.12","€212,989.21","€225,866.63","€217,685.86","€210,411.66","€208,263.09","€215,170.80","€235,229.36","","","","","","","","","","","","","","","","€128,440.85","€176,995.93",""
"","","","Annualized Weekly GR","€2,606,751.65","€6,392,495.37","€5,044,885.47","€4,504,888.41","€4,782,862.14","€4,212,746.98","€4,093,173.17","€4,021,449.62","€2,120,743.71","€2,274,979.62","€4,678,786.05","€8,207,765.76","€9,074,134.55","€9,397,046.25","€10,325,129.50","€10,398,796.16","€11,208,542.16","€12,088,689.39","€11,613,906.11","€12,124,377.79","€11,538,479.55","€10,935,101.98","€10,697,296.18","€11,380,420.89","€10,029,530.39","€8,312,885.27","€9,266,583.69","€9,870,204.14","€10,518,347.75","€10,720,441.27","€10,172,095.89","€10,327,202.42","€10,376,769.11","€10,708,887.81","€10,334,681.62","€10,504,389.10","€11,190,230.18","€11,268,579.43","€10,982,146.32","€11,075,439.14","€11,745,064.52","€11,319,664.47","€10,941,406.22","€10,829,680.59","€11,188,881.68","€12,231,926.73","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Meals AOV","","€58.11","€61.85","€59.74","€59.94","€62.96","€64.64","€65.76","€67.04","€68.16","€68.16","€69.68","€71.57","€72.86","€71.67","€71.79","€72.40","€71.71","€72.52","€72.54","€72.54","€71.84","€72.45","€73.01","€72.76","€71.56","€72.34","€71.66","€71.77","€72.75","€72.76","€72.86","€72.69","€73.29","€73.40","€72.88","€68.09","€68.78","€68.15","€68.27","€67.86","€68.65","€68.36","€68.10","€68.10","€67.88","€68.07","€68.06","€68.06","€68.06","€73.55","€72.73","€72.92","€72.61","€72.75","€73.75","€73.75","€73.78","€73.72","€73.22","€73.05","€73.95","€72.42","€71.95",""
"","","Shipping AOV","","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99",""
