"1","2","3","4","5","6","7","8","9","10","","","11","12","13","14","15","","16","17","18","19","20","21","22","","","","","20","","","","",""
"W19","","","COPY FROM D4 OUTPUT","","IMPORTS FROM MENU DATABASE","","","","","","","","","","","","","MEAL UPTAKE BY SLOT","","","","","","","","","","","","","","","",""
"Slot BNL","Slot NOR","Week","Count BNL","Count NOR","BNL Count w/ buffer","NOR Count w/ buffer","Recipe ID","BF SKU","BF Name","Dutch Name","Danish Name","Name","Internal SKU number (BNL)","Internal SKU number (NOR)","Price","Production buffer","","BNL","","","","NORD","","","","","W Average of last 3 weeks","WA incl Buffer ","Nordics + 6","BNL + 0.06% / 12 ","","","",""
"406","456","W30","2717","773","2733","779","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W30","406","2717","","8.32%","456","773","","7.97%","","","","","","","","","0.08265637212"
"407","457","W30","3071","711","3089","717","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W30","407","3071","","9.41%","457","711","","7.33%","","","","","","","","","0.0895720342"
"408","458","W30","2516","624","2531","630","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W30","408","2516","","7.71%","458","624","","6.43%","","","","","","","","","0.07436705113"
"409","459","W30","508","146","520","152","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W30","409","508","","1.56%","459","146","","1.50%","","","","","","","","","0.01548918836"
"410","460","W30","677","217","689","223","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W30","410","677","","2.07%","460","217","","2.24%","","","","","","","","","0.02117329418"
"411","461","W30","461","114","473","120","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W30","411","461","","1.41%","461","114","","1.18%","","","","","","","","","0.01361817019"
"412","462","W30","461","124","473","130","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W30","412","461","","1.41%","462","124","","1.28%","","","","","","","","","0.01385500793"
"413","463","W30","1878","650","1890","656","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W30","413","1878","","5.75%","463","650","","6.70%","","","","","","","","","0.05987258129"
"414","464","W30","1286","400","1298","406","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W30","414","1286","","3.94%","464","400","","4.12%","","","","","","","","","0.03993084338"
"415","465","W30","892","187","904","193","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W30","415","892","","2.73%","465","187","","1.93%","","","","","","","","","0.02555479241"
