"305","","","UPDATED ASSUMPTIONS: 02.10.24","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","forecast","forecast","forecast","forecast","forecast","forecast","forecast","forecast","forecast","forecast","forecast"
"","","Active","","782","1,812","1,476","1,314","1,334","1,147","1,097","1,059","550","590","1,189","2,035","2,213","2,327","2,553","2,551","2,774","2,961","2,844","2,969","2,851","2,681","2,604","2,779","2,487","2,041","2,295","2,441","2,569","2,618","2,481","2,524","2,517","2,594","2,520","2,727","2,878","2,923","2,844","2,884","3,026","2,928","2,840","2,811","2,913","3,176","3,287","3,448","3,521","3,400","3,261","3,259","3,215","3,374","3,514","3,288","3,171","3,146","2,970","2,551","1,523","1,638","2,271","2,920","3,210","3,235","3,455","3,507","3,423","3,351","3,396","3,323","3,159","3,025","2,731","2,437","2,974","2,964","2,930","2,881","2,814","2,881","2,829","2,827","2,723","2,732","2,744","2,700","2,737","2,740","2,724"
"","","Payment Failures / Other Adjustments","","17","36","107","119","107","127","170","104","104","104","126","204","224","270","291","281","316","336","316","330","275","267","282","227","221","446","245","213","226","177","307","264","271","276","256","361","210","322","398","358","438","364","389","418","486","444","477","601","629","315","352","354","398","239","221","447","287","289","236","234","225","214","230","156","187","246","294","301","334","353","348","421","241","230","244","182","195","211","160","217","202","202","211","204","197","199","199","196","199","199","198"
"","","Total Orders (Boxes)","","782","1,812","1,476","1,314","1,334","1,147","1,097","1,059","550","590","1,189","2,035","2,213","2,327","2,553","2,551","2,774","2,961","2,844","2,969","2,851","2,681","2,604","2,779","2,487","2,041","2,295","2,441","2,569","2,618","2,481","2,524","2,517","2,594","2,520","2,727","2,878","2,923","2,844.00","2,884.00","3,026.00","2,928.00","2,840.00","2,811.00","2,913.00","3,176","3,287","3,448","3,521","3,400","3,261","3,259","3,215","3,374","3,514","3,288","3,171","3,146","2,970","2,551","1,523","1,638","2,271","2,920","3,210","3,235","3,455","3,507","3,423","3,351","3,396","3,323","3,159","3,025","2,731","2,437","2,974","2,964","2,930","2,881","2,814","2,881","2,829","2,827","2,723","2,732","2,744","2,700","2,737","2,740","2,724"
"","","","Order growth WOW","782","1,030","-336","-162","20","-187","-50","-38","-509","40","599","846","178","114","226","-2","223","187","-117","125","-118","-170","-77","175","-292","-446","254","146","128","49","-137","43","-7","77","-74","207","151","45","-79","40","142","-98","-88","-29","102","263","111","161","73","-121","-139","-2","-44","159","140","-226","-117","-25","-176","-419","-1,028","115","633","649","290","25","220","52","-84","-72","45","-73","-164","-134","-294","-294","537","-10","-34","-49","-67","67","-52","-2","-105","10","12","-44","37","3","-16"
"","","","Order growth % WOW","-","131.7%","-18.5%","-11.0%","1.5%","-14.0%","-4.4%","-3.5%","-48.1%","7.3%","101.5%","71.2%","8.7%","5.2%","9.7%","-0.1%","8.7%","6.7%","-4.0%","4.4%","-4.0%","-6.0%","-2.9%","6.7%","-10.5%","-17.9%","12.4%","6.4%","5.2%","1.9%","-5.2%","1.7%","-0.3%","3.1%","-2.9%","8.2%","5.5%","1.6%","-2.7%","1.4%","4.9%","-3.2%","-3.0%","-1.0%","3.6%","9.0%","3.5%","4.9%","2.1%","-3.4%","-4.1%","-0.1%","-1.4%","4.9%","4.1%","-6.4%","-3.6%","-0.8%","-5.6%","-14.1%","-40.3%","7.6%","38.6%","28.6%","9.9%","0.8%","6.8%","1.5%","-2.4%","-2.1%","1.3%","-2.1%","-4.9%","-4.2%","-9.7%","-10.8%","22.0%","-0.3%","-1.1%","-1.7%","-2.3%","2.4%","-1.8%","-0.1%","-3.7%","0.4%","0.4%","-1.6%","1.4%","0.1%","-0.6%"
"","","","Conversion growth % WoW","-","109.72%","-28.41%","-14.82%","4.70%","","","","","","315.00%","127.37%","-6.74%","-25.24%","10.31%","-22.44%","27.03%","-0.30%","-14.93%","-1.06%","-19.88%","-7.58%","-3.54%","12.67%","-24.41%","-24.27%","11.37%","59.40%","-4.08%","-6.07%","6.79%","-10.44%","12.16%","-11.45%","-6.80%","9.85%","24.09%","-7.10%","0.43%","5.02%","13.52%","-14.56%","-13.80%","3.92%","23.74%","17.15%","3.69%","-6.38%","7.60%","-11.94%","-12.62%","4.05%","1.04%","7.06%","4.68%","-20.27%","-14.22%","-8.71%","-17.61%","-22.49%","-34.48%","33.33%","8.55%","195.15%","-11.19%","-9.94%","15.28%","-6.79%","-7.05%","6.17%","-11.02%","-9.80%","-19.76%","-0.38%","-14.72%","3.54%","21.37%","-8.45%","0.96%","-14.48%","11.73%","2.76%","27.98%","-16.54%","0.00%","0.00%","0.00%","0.00%","-3.85%","0.00%","0.00%"
"","","Total Meals ","","4,770","12,032","9,446","8,410","9,056","8,029","7,789","7,731","4,070","4,248","8,632","16,077","17,970","18,593","20,424","20,714","22,192","23,984","22,951","23,880","22779","21582","21144","22510","19821","16471","18291","19387","20809","21120","20121","20394","20514","21167","20437","20366","21754","21852","21330","21452","22823","21971","21211","20995","21671","23725","24554","25731","26277","27914","26512","26496","26106","27296","28393","26955","25368","24885","23493","20357","12473","13120","18009","23886","26001","26398","28331","28372","27692","26774","27372","26621","25335","24019","21930","19545","23405","23682","23528","22846","22199","22731","22323","22307","21482","21558","21649","21300","21593","21618","21493"
"","","","Orders","4770","12032","9446","8410","9056","8029","7789","7731","4070","4248","8632","16077","17970","18593","20424","20714","22192","23984","22951","23880","22779","21582","21144","22510","19821","16471","18291","19387","20809","21120","20121","20394","20514","21167","20437","20366","21754","21852","21330","21452","22823","21971","21211","20995","21671","23725","24554","25731","26277","27914","26512","26496","26106","27296","28393","26955","25368","24885","23493","20357","12473","13120","18009","23886","26001","26398","28331","28372","27692","26774","27372","26621","25335","24019","21930","19545","23405","23682","23528","22846","22199","22731","22323","22307","21482","21558","21649","21300","21593","21618","21493"
"","","","Additional Samples / Adjustments","","","","","","1254.53%","1216.98%","1207.92%","635.94%","6.6375","13.48771875","2511.95%","2807.74%","2905.11%","3191.25%","3236.58%","3467.50%","3747.52%","","","","","","","","","","","","","","","32","33","32","32","68","68","67","67","71","69","66","66","68","74","77","80","82","87","83","83","82","85","89","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total Addons","","7.4534375","18.7995","14.76","13.14","14.14998813","12.5453125","12.16984375","12.07921875","6.359375","","","","","","","","","","","","997.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Conversions % of total orders","100.0%","90.5%","79.5%","76.1%","78.5%","70.3%","57.5%","43.1%","56.4%","23.7%","48.9%","64.9%","55.7%","39.6%","39.8%","30.9%","36.1%","33.7%","29.9%","28.3%","23.6%","23.2%","23.0%","24.3%","20.5%","19.0%","18.8%","28.1%","25.7%","23.6%","26.6%","23.5%","26.4%","22.7%","21.7%","22.1%","26.0%","23.7%","24.5%","25.4%","27.5%","24.2%","21.5%","22.6%","27.0%","29.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Pause (% of prior week)","#DIV/0!","33.5%","26.8%","28.1%","25.6%","26.9%","30.2%","30.7%","46.4%","53.1%","34.6%","28.1%","27.3%","27.3%","28.7%","27.1%","29.0%","28.9%","30.1%","29.6%","32.1%","34.9%","34.9%","35.6%","37.5%","43.7%","37.6%","40.7%","36.8%","38.0%","40.2%","38.3%","41.8%","38.0%","39.1%","39.6%","38.3%","37.5%","37.3%","36.9%","37.6%","37.6%","36.5%","39.3%","38.8%","39.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Pause (% of total)","0.0%","12.9%","27.7%","31.5%","28.1%","31.5%","33.1%","34.4%","59.2%","54.8%","29.1%","19.9%","23.9%","26.9%","27.9%","29.0%","28.8%","29.1%","32.3%","31.1%","34.3%","37.5%","37.9%","36.4%","41.0%","48.7%","42.0%","41.2%","38.5%","39.0%","42.0%","41.1%","43.0%","40.7%","41.9%","40.0%","39.5%","38.9%","40.1%","39.7%","39.0%","41.0%","40.6%","42.0%","41.2%","40.2%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Cancel (% of prior week)","#DIV/0!","35.9%","55.7%","43.4%","47.3%","42.0%","32.9%","31.2%","24.3%","13.0%","11.2%","20.9%","24.2%","20.3%","20.0%","19.4%","17.7%","16.9%","18.7%","15.9%","15.2%","14.6%","14.6%","12.8%","14.4%","12.9%","11.4%","13.1%","12.9%","11.9%","14.1%","13.0%","13.6%","12.7%","12.8%","12.1%","11.9%","11.6%","12.2%","12.4%","13.0%","11.5%","12.6%","11.3%","12.8%","10.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Reactivation (% of prior week)","#REF!","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Net Cancellation %","#DIV/0!","35.9%","55.7%","43.4%","47.3%","42.0%","32.9%","31.2%","24.3%","13.0%","11.2%","20.9%","24.2%","20.3%","20.0%","19.4%","17.7%","16.9%","18.7%","15.9%","15.2%","14.6%","14.6%","12.8%","14.4%","12.9%","11.4%","13.1%","12.9%","11.9%","14.1%","13.0%","13.6%","12.7%","12.8%","12.1%","11.9%","11.6%","12.2%","12.4%","13.0%","11.5%","12.6%","11.3%","12.8%","10.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Revenue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Meals GR","","€45,445.66","€112,078.72","€88,175.79","€78,761.61","€83,987.46","€74,143.83","€72,143.84","€70,992.16","€37,489.03","€40,215.51","€82,854.54","€145,652.00","€161,246.72","€166,773.70","€183,267.71","€184,696.36","€198,932.63","€214,738.41","€206,308.79","€215,376.78","€204,816.35","€194,231.23","€190,119.27","€202,208.04","€177,978.45","€147,637.59","€164,456.48","€175,190.03","€186,887.61","€190,480.51","€180,756.04","€183,481.29","€184,476.42","€190,402.09","€183,649.08","€185,672.75","€197,957.51","€199,194.68","€194,159.56","€195,714.05","€207,740.89","€200,147.14","€193,400.06","€191,425.20","€197,721.93","€216,205.12","€223,717.74","€234,675.62","€239,654.35","€250,055.63","€237,184.62","€237,646.53","€233,447.07","€245,453.01","€259,165.30","€242,497.30","€233,970.00","€231,914.49","€217,457.00","€186,343.87","€112,623.90","€118,629.23","€163,392.64","€213,989.99","€233,784.94","€236,168.68","€253,973.03","€255,522.03","€248,678.02","€242,775.10","€245,768.48","€240,485.47","€227,533.72","€216,203.26","€197,226.52","€174,872.45","€210,585.70","€213,066.03","€211,479.69","€205,846.89","€201,034.11","€205,854.92","€202,159.88","€202,020.04","€194,547.80","€195,229.20","€196,053.66","€192,892.71","€195,549.20","€195,780.05","€194,648.06"
