"305","","","UPDATED ASSUMPTIONS: 02.10.24","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","actuals","forecast","forecast","forecast","forecast","forecast","forecast","forecast","forecast","forecast","forecast","forecast"
"","","Shipping GR","","€4,684.18","€10,853.88","€8,841.24","€7,870.86","€7,990.66","€6,870.53","€6,571.03","€6,343.41","€3,294.50","€3,534.10","€7,122.11","€12,189.65","€13,255.87","€13,938.73","€15,292.47","€15,280.49","€16,616.26","€17,736.39","€17,035.56","€17,784.33","€17,077.49","€16,059.19","€15,597.96","€16,646.21","€14,897.13","€12,225.59","€13,747.05","€14,621.59","€15,388.31","€15,681.82","€14,861.19","€15,118.76","€15,076.83","€15,538.06","€15,094.80","€16,334.73","€17,239.22","€17,508.77","€17,035.56","€17,275.16","€18,125.74","€17,538.72","€17,011.60","€16,837.89","€17,448.87","€19,024.24","€19,689.13","€20,653.52","€21,091.69","€20,366.00","€19,533.39","€19,521.41","€19,257.85","€20,210.26","€21,048.86","€19,695.12","€18,994.29","€18,844.54","€17,790.30","€15,280.49","€9,122.77","€9,811.62","€13,603.29","€17,490.80","€19,227.90","€19,377.65","€20,695.45","€21,006.93","€20,503.77","€20,072.49","€20,342.04","€19,904.77","€18,922.41","€18,119.75","€16,358.69","€14,597.63","€17,814.26","€17,754.36","€17,550.70","€17,257.19","€16,853.71","€17,257.86","€16,948.09","€16,936.37","€16,309.93","€16,367.06","€16,436.17","€16,171.18","€16,393.88","€16,413.24","€16,318.34"
"","","Add-Ons GR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total Weekly GR","","€50,129.84","€122,932.60","€97,017.03","€86,632.47","€91,978.12","€81,014.36","€78,714.87","€77,335.57","€40,783.53","€43,749.61","€89,976.65","€157,841.65","€174,502.59","€180,712.43","€198,560.18","€199,976.85","€215,548.89","€232,474.80","€223,344.35","€233,161.11","€221,893.84","€210,290.42","€205,717.23","€218,854.25","€192,875.58","€159,863.18","€178,203.53","€189,811.62","€202,275.92","€206,162.33","€195,617.23","€198,600.05","€199,553.25","€205,940.15","€198,743.88","€202,007.48","€215,196.73","€216,703.45","€211,195.12","€212,989.21","€225,866.63","€217,685.86","€210,411.66","€208,263.09","€215,170.80","€235,229.36","","","","","","","","","","","","","","","","€128,440.85","€176,995.93","€231,480.79","€253,012.84","€255,546.33","€274,668.48","€276,528.96","€269,181.79","€262,847.59","€266,110.52","€260,390.24","€246,456.13","€234,323.01","€213,585.21","€189,470.08","€228,399.96","€230,820.39","€229,030.39","€223,104.08","€217,887.82","€223,112.78","€219,107.97","€218,956.40","€210,857.73","€211,596.25","€212,489.83","€209,063.89","€211,943.08","€212,193.29","€210,966.39"
"","","","Annualized Weekly GR","€2,606,751.65","€6,392,495.37","€5,044,885.47","€4,504,888.41","€4,782,862.14","€4,212,746.98","€4,093,173.17","€4,021,449.62","€2,120,743.71","€2,274,979.62","€4,678,786.05","€8,207,765.76","€9,074,134.55","€9,397,046.25","€10,325,129.50","€10,398,796.16","€11,208,542.16","€12,088,689.39","€11,613,906.11","€12,124,377.79","€11,538,479.55","€10,935,101.98","€10,697,296.18","€11,380,420.89","€10,029,530.39","€8,312,885.27","€9,266,583.69","€9,870,204.14","€10,518,347.75","€10,720,441.27","€10,172,095.89","€10,327,202.42","€10,376,769.11","€10,708,887.81","€10,334,681.62","€10,504,389.10","€11,190,230.18","€11,268,579.43","€10,982,146.32","€11,075,439.14","€11,745,064.52","€11,319,664.47","€10,941,406.22","€10,829,680.59","€11,188,881.68","€12,231,926.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Meals AOV","","€58.11","€61.85","€59.74","€59.94","€62.96","€64.64","€65.76","€67.04","€68.16","€68.16","€69.68","€71.57","€72.86","€71.67","€71.79","€72.40","€71.71","€72.52","€72.54","€72.54","€71.84","€72.45","€73.01","€72.76","€71.56","€72.34","€71.66","€71.77","€72.75","€72.76","€72.86","€72.69","€73.29","€73.40","€72.88","€68.09","€68.78","€68.15","€68.27","€67.86","€68.65","€68.36","€68.10","€68.10","€67.88","€68.07","€68.06","€68.06","€68.06","€73.55","€72.73","€72.92","€72.61","€72.75","€73.75","€73.75","€73.78","€73.72","€73.22","€73.05","€73.95","€72.42","€71.95","€73.28","€72.83","€73.00","€73.51","€72.86","€72.65","€72.45","€72.37","€72.37","€72.03","€71.47","€72.22","€71.76","€70.81","€71.88","€72.18","€71.45","€71.45","€71.45","€71.45","€71.45","€71.45","€71.45","€71.45","€71.45","€71.45","€71.45","€71.45"
"","","Shipping AOV","","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99","€5.99"
"","","Add-Ons AOV","","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00","€0.00"
"","","Total Gross AOV","","€64.10","€67.84","€65.73","€65.93","€68.95","€70.63","€71.75","€73.03","€74.15","€74.15","€75.67","€77.56","€78.85","€77.66","€77.78","€78.39","€77.70","€78.51","€78.53","€78.53","€77.83","€78.44","€79.00","€78.75","€77.55","€78.33","€77.65","€77.76","€78.74","€78.75","€78.85","€78.68","€79.28","€79.39","€78.87","€74.08","€74.77","€74.14","€74.26","€73.85","€74.64","€74.35","€74.09","€74.09","€73.87","€74.06","€74.05","€74.05","€74.05","€79.54","€78.72","€78.91","€78.60","€78.74","€79.74","€79.74","€79.77","€79.71","€79.21","€79.04","€79.94","€78.41","€77.94","€79.27","€78.82","€78.99","€79.50","€78.85","€78.64","€78.44","€78.36","€78.36","€78.02","€77.46","€78.21","€77.75","€76.80","€77.87","€78.17","€77.44","€77.44","€77.44","€77.44","€77.44","€77.44","€77.44","€77.44","€77.44","€77.44","€77.44","€77.44"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403,319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Model Drivers","","","Box size distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Meals per Box","","6.10","6.64","6.40","6.40","6.79","7.00","7.10","7.30","7.40","7.20","7.26","7.90","8.12","7.99","8.00","8.12","8.00","8.10","8.07","8.04","7.99","8.05","8.12","8.10","7.97","8.07","7.97","7.94","8.10","8.07","8.11","8.08","8.15","8.16","8.11","7.47","7.56","7.48","7.50","7.44","7.54","7.50","7.47","7.47","7.44","7.47","7.47","7.46","7.46","8.21","8.13","8.13","8.12","8.09","8.08","8.20","8.00","7.91","7.91","7.98","8.19","8.01","7.93","8.18","8.10","8.16","8.20","8.09","8.09","7.99","8.06","8.01","8.02","7.94","8.03","8.02","7.87","7.99","8.03","7.93","7.89","7.89","7.89","7.89","7.89","7.89","7.89","7.89","7.89","7.89","7.89"
"","","","6","94.25%","83.00%","85.98%","86.15%","76.01%","70.71%","67.18%","61.00%","56.28%","56.28%","52.36%","45.45%","41.98%","44.69%","44.93%","41.43%","44.52%","43.06%","43.64%","43.64%","44.93%","44.01%","43.20%","43.43%","44.87%","42.23%","44.92%","45.51%","43.36%","44.16%","47.20%","48.22%","47.24%","48.00%","48.93%","52.99%","51.32%","53.20%","53.16%","53.26%","52.45%","52.73%","55.07%","55.07%","56.16%","54.63%","55.40%","55.40%","55.40%","51.74%","52.44%","52.50%","50.89%","51.27%","46.13%","46.13%","45.54%","44.56%","47.47%","48.45%","47.54%","51.16%","53.76%","49.49%","51.09%","51.53%","51.17%","52.30%","53.52%","53.83%","53.50%","53.50%","54.12%","55.07%","54.05%","54.58%","57.23%","54.95%","54.83%","56.42%","56.42%","56.42%","56.42%","56.42%","56.42%","56.42%","56.42%","56.42%","56.42%","56.42%","56.42%"
"","","","8","4.60%","5.00%","10.84%","10.35%","15.82%","19.01%","20.05%","24.55%","28.05%","28.05%","28.96%","33.91%","33.03%","33.22%","32.90%","34.22%","32.41%","33.03%","33.16%","33.16%","32.94%","32.30%","32.45%","32.75%","33.45%","35.08%","33.25%","32.32%","32.89%","32.47%","27.81%","26.90%","26.74%","25.67%","25.08%","26.37%","25.75%","25.73%","25.00%","26.73%","24.92%","25.58%","22.87%","22.87%","22.00%","23.08%","22.70%","22.70%","22.70%","19.50%","19.87%","19.85%","21.56%","21.16%","24.19%","24.19%","25.10%","26.48%","24.48%","23.60%","22.59%","21.86%","20.21%","20.38%","20.12%","18.70%","19.48%","19.56%","18.43%","19.84%","18.40%","18.40%","18.65%","18.77%","18.32%","18.09%","17.61%","18.54%","18.32%","17.71%","17.71%","17.71%","17.71%","17.71%","17.71%","17.71%","17.71%","17.71%","17.71%","17.71%","17.71%"
"","","","10","0.77%","10.00%","2.03%","1.90%","4.35%","4.97%","6.65%","7.65%","7.47%","7.47%","9.60%","10.12%","11.48%","10.31%","10.34%","11.05%","10.49%","10.74%","10.34%","10.34%","10.42%","11.56%","10.98%","10.47%","10.09%","10.53%","10.20%","10.57%","11.09%","10.58%","11.04%","11.17%","11.64%","11.72%","11.79%","14.92%","16.71%","15.22%","16.00%","14.84%","15.83%","15.40%","15.65%","15.65%","15.52%","16.81%","15.73%","15.73%","15.73%","12.03%","12.33%","11.94%","12.85%","12.42%","13.86%","13.86%","14.16%","13.80%","13.47%","13.68%","14.12%","13.49%","12.29%","14.28%","14.80%","14.03%","13.72%","13.46%","13.12%","12.65%","13.63%","13.63%","13.25%","13.01%","13.39%","13.42%","12.41%","12.42%","12.58%","12.45%","12.45%","12.45%","12.45%","12.45%","12.45%","12.45%","12.45%","12.45%","12.45%","12.45%","12.45%"
"","","","12","0.13%","1.00%","0.75%","0.99%","1.72%","1.92%","2.28%","3.02%","3.46%","3.46%","4.04%","4.08%","6.42%","5.20%","4.50%","5.57%","5.19%","4.83%","5.10%","5.10%","4.14%","4.81%","5.30%","5.00%","4.99%","4.95%","4.92%","4.26%","5.45%","5.58%","5.88%","5.47%","5.44%","5.67%","5.91%","5.68%","6.12%","5.78%","5.80%","5.17%","6.74%","6.28%","6.37%","6.37%","6.28%","5.42%","5.66%","5.66%","5.66%","6.44%","6.04%","6.20%","6.19%","6.34%","6.63%","6.63%","6.34%","7.06%","6.26%","5.88%","6.37%","5.31%","5.28%","6.78%","4.95%","6.71%","5.64%","5.90%","5.67%","6.06%","5.80%","5.80%","5.68%","5.34%","6.09%","6.01%","5.00%","5.82%","5.47%","5.57%","5.57%","5.57%","5.57%","5.57%","5.57%","5.57%","5.57%","5.57%","5.57%","5.57%","5.57%"
"","","","14","0.13%","1.00%","0.14%","0.30%","0.75%","1.39%","1.64%","1.70%","3.46%","3.46%","2.19%","2.51%","3.03%","2.58%","2.98%","2.98%","3.03%","3.61%","3.62%","3.62%","3.40%","3.47%","3.69%","3.63%","3.10%","3.28%","3.05%","3.11%","3.43%","3.13%","3.35%","3.76%","4.13%","3.62%","3.29%","0.04%","0.10%","0.07%","0.04%","0.00%","0.07%","0.00%","0.04%","0.04%","0.03%","0.06%","0.40%","0.40%","0.40%","4.12%","3.65%","3.77%","3.20%","3.29%","4.01%","4.01%","3.91%","4.04%","3.60%","3.61%","3.87%","3.72%","3.70%","3.77%","3.46%","3.43%","3.65%","3.17%","3.62%","3.16%","3.45%","3.45%","3.28%","2.96%","2.99%","2.50%","3.25%","3.30%","3.13%","2.97%","2.97%","2.97%","2.97%","2.97%","2.97%","2.97%","2.97%","2.97%","2.97%","2.97%","2.97%"
"","","","16","0.13%","0.00%","0.20%","0.30%","1.35%","2.01%","2.19%","2.08%","1.28%","1.28%","2.86%","3.88%","3.66%","3.61%","3.92%","3.88%","3.64%","4.12%","3.87%","3.87%","3.79%","3.66%","4.15%","4.32%","3.18%","3.58%","3.36%","3.89%","3.70%","4.09%","4.64%","4.44%","4.77%","5.32%","4.92%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.09%","0.09%","0.09%","5.91%","5.34%","5.49%","4.95%","5.19%","4.70%","4.70%","4.60%","3.81%","4.48%","4.55%","5.25%","4.33%","4.58%","4.79%","5.23%","5.13%","6.05%","5.45%","5.38%","4.77%","4.92%","4.92%","4.76%","4.58%","4.96%","4.99%","4.19%","4.78%","5.47%","4.74%","4.74%","4.74%","4.74%","4.74%","4.74%","4.74%","4.74%","4.74%","4.74%","4.74%","4.74%"
"","","","18","","","","","0.00","","","0.00","0.00","","0.00%","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Box Breakdown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Box S - 6 Meal","737","1504","1269","1132","1014","811","737","646","310","332","623","925","929","1040","1147","1057","1235","1275","1241","1296","1281","1180","1125","1207","1116","862","1031","1111","1114","1156","1171","1217","1189","1245","1233","1445","1477","1555","1512","1536","1587","1544","1564","1548","1636","1735","1821","1910","1951","1759","1710","1711","1636","1730","1621","1517","1444","1402","1410","1236","724","838","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Box S - 8 Meal","36","91","160","136","211","218","220","260","154","165","344","690","731","773","840","873","899","978","943","985","939","866","845","910","832","716","763","789","845","850","690","679","673","666","632","719","741","752","711","771","754","749","650","643","641","733","746","783","799","663","648","647","693","714","850","795","796","833","727","602","344","358","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Box M - 10 Meal","6","181","30","25","58","57","73","81","41","44","114","206","254","240","264","282","291","318","294","307","297","310","286","291","251","215","234","258","285","277","274","282","293","304","297","407","481","445","455","428","479","451","444","440","452","534","517","542","554","409","402","389","413","419","487","456","449","434","400","349","215","221","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Box M - 12 Meal","1","18","11","13","23","22","25","32","19","20","48","83","142","121","115","142","144","143","145","151","118","129","138","139","124","101","113","104","140","146","146","138","137","147","149","155","176","169","165","149","204","184","181","179","183","172","186","195","199","219","197","202","199","214","233","218","201","222","186","150","97","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Box L - 14 Meal","1","18","2","4","10","16","18","18","19","20","26","51","67","60","76","76","84","107","103","107","97","93","96","101","77","67","70","76","88","82","83","95","104","94","83","1","3","205","114","0","212","0","114","112","87","191","1315","1379","1408","14008","11903","12286","10288","11100","14091","13185","12399","127","107","92","59","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Box L - 16 Meal","1","0","3","4","18","23","24","22","7","8","34","79","81","84","100","99","101","122","110","115","108","98","108","120","79","73","77","95","95","107","115","112","120","138","124","0","0","0","0","0","0","0","0","0","0","0","3","3","3","201","174","179","159","175","165","155","146","120","133","116","80","71","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Regular","Summer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Factor Box Small","65.00%","55.00%","773","1595","1429","1268","1225","1029","957","906","464","498","967","1615","1660","1813","1987","1930","2134","2253","2184","2280","2220","2046","1970","2117","1948","1578","1794","1900","","","","","","","","","","","","","1664","1610","1562","1546","1602","2064","2137","2241","2289","2210","2120","2118","2090","2193","2284","2137","2061","2045","1931","1658","990","1065","1476","1898","2087","2103","2246","2280","2225","2178","2207","2160","2053","1966","","","","","","","","","","","","","","","","",""
"","Factor Box Medium","27.00%","25.00%","7","199","41","38","81","79","98","113","60","64","162","289","396","361","379","424","435","461","439","458","415","439","424","430","375","316","347","362","","","","","","","","","","","","","757","732","710","703","728","858","887","931","951","918","880","880","868","911","949","888","856","849","802","689","411","442","613","788","867","873","933","947","924","905","917","897","853","817","","","","","","","","","","","","","","","","",""
"","Factor Box Large","8.00%","20.00%","2","18","5","8","28","39","42","40","26","28","60","130","148","144","176","175","185","229","213","222","205","191","204","221","156","140","147","171","","","","","","","","","","","","","605","586","568","562","583","254","263","276","282","272","261","261","257","270","281","263","254","252","238","204","122","131","182","234","257","259","276","281","274","268","272","266","253","242","","","","","","","","","","","","","","","","",""
"","","100.00%","Total ","782","1812","1475","1314","1334","1147","1097","1059","550","590","1189","2034","2204","2318","2542","2529","2754","2943","2836","2961","2840","2676","2598","2768","2479","2034","2288","2433","","","","","","","","","","","","","3026","2928","2840","2811","2913","3176","3287","3448","3521","3400","3261","3259","3215","3374","3514","3288","3171","3146","2970","2551","1523","1638","2271","2920","3210","3235","3455","3507","3423","3351","3396","3323","3159","3025","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Box Stock ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Smurfit Kappa GmbH - Wellpappe Sarstedt","","Box Stock After Production - S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7830","6228","4163","2794","553","6264","4054","3120","1030","12140","9947","20863","18726","29865","27820","25889","24231","23241","22177","20700","15700","13614","11511","22465","20185","17961","15782","13575","11415","9362","7395","","","","","","","","","","","","","","","","",""
"Supplier Code: 10210","","Box Stock After Production - M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9488","8760","7902","6670","5739","6788","5870","5591","4991","4123","3212","8863","7975","7119","9670","8868","8179","7768","7326","6713","11080","10213","9340","11807","10860","9936","9031","8114","7217","6364","5547","","","","","","","","","","","","","","","","",""
"","","Box Stock After Production - L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460","3377","3123","2420","2144","4922","4650","3774","3284","3027","2757","2476","2213","4479","4227","3990","3786","3664","3533","3351","1140","883","624","3228","2947","2674","2406","2134","1868","1615","1373","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Box Delivery ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCK-00-136827-5","S","400","€0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","3","","33","","33","","33","","","","","","","","","","33","","","","","","","","","","","","","","","","","","","","","","","",""
"PCK-00-136828-5","M","200","€0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","33","","","17","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","",""
"PCK-00-136829-5","L","180","€0.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3500","","","","17","","","","","","","","14","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","",""
"","PO Nr.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2536VE825216","","2537NI827761","","2540VE838296","","2541NI842785","","2544NI845129","","2545NI849144","","2548NI857354","2548NI863223","","","","","","","","","2605NI882767  2605VF888888","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2537NI827759","","","","","","24.10.2025","","2545NI849145","","2548NI857352","","","","","","","","","","2605NI882769  2605VF888887","","","","","","","","","","","","","","","","","","","","","","","",""
"","Liner Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Total liner needed ","1564","3624","2950","2628","2668","2294","2194","2118","1100","1180","2378","4068","4408","4636","5084","5058","5508","5886","5673","5922","5680","5352","","","","","","","","","","","","","","","","","","","6052","5856","5680","5622","5826","6352","6574","6896","7042","6800","6522","6518","6430","6748","7028","6576","6342","6292","5940","5102","3046","3276","4542","5840","6420","6470","6910","7014","6846","6702","6792","6646","6318","6050","","","","","","","","","","","","","","","","",""
"Supplier Code:111571","","","","","","","","","Actuals Updated","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Supplier: easy2cool GmbH","","Stock after the Weeks Production ","S","-1048","-4237","1833","4877","14703","22932","21018","19206","18279","17284","15350","24396","21076","19456","15482","11622","19630","15124","23032","18471","46920","42828","","","","","","","","","","","","","","","","","","","","27988","24864","21772","30844","26715","22442","30235","25658","21238","31788","27551","23372","18986","26693","22419","18297","26483","22622","19306","29602","27472","24520","20724","28140","23935","19443","27160","22710","18354","13939","21895","17788","13856","","","","","","","","","","","","","","","","",""
"","","","M1","477","277","1580","2886","4486","4704","4606","4493","4433","4368","4206","3917","3521","3380","3001","2577","2142","1681","3930","3472","3192","2753","","","","","","","","","","","","","","","","","","","","5905","5195","4492","6788","5930","5043","7136","6185","5267","7851","6971","6103","5192","7267","6380","5523","7698","6896","6207","8820","8378","7765","6976","15270","14397","13464","12517","15289","14384","13467","12570","11717","10900","","","","","","","","","","","","","","","","",""
"","","","M2","368","169","1447","2466","3969","4608","4510","4397","4337","4272","4110","3821","3425","3024","2645","2221","1786","1325","3526","3068","3168","2729","","","","","","","","","","","","","","","","","","","","5776","5066","4363","6275","5417","4530","6767","5816","4898","7608","6728","5860","4949","7168","6281","5424","7743","6941","6252","9009","8567","7954","7165","15780","14907","13974","13027","15271","14366","13449","12552","11699","10882","","","","","","","","","","","","","","","","",""
"","","","L1","309","291","286","1238","1594","2000","1958","1918","1892","1864","1804","1674","1526","1352","1176","1001","816","587","2102","1880","1872","1681","","","","","","","","","","","","","","","","","","","","2966","2398","1836","2789","2535","2272","3148","2867","2595","2611","2350","2093","1823","2694","2431","2177","3078","2840","2636","3666","3535","3353","3120","2854","2595","2319","2038","2916","2648","2377","2111","1858","1616","","","","","","","","","","","","","","","","",""
"","","","L2","418","400","395","1707","2471","2448","2406","2366","2340","2312","2252","2122","1974","1892","1716","1541","1356","1127","2498","2276","2016","1825","","","","","","","","","","","","","","","","","","","","3066","2498","1936","2937","2683","2420","3728","3447","3175","3395","3134","2877","2607","3910","3647","3393","4726","4488","4284","5746","5615","5433","5200","3258","2999","2723","2442","3224","2956","2685","2419","2166","1924","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","updated on the 13th","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Stock in pallets","S","","","","","","","","","","","","","","","","","","","","50","126","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","67","59","83","72","60","81","69","57","85","74","63","51","72","60","49","71","61","52","80","74","66","56","76","64","52","73","61","49","37","59","48","37","","","","","","","","","","","","","","","","",""
"","","","M1","","","","","","","","","","","","","","","","","","","","10","10","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","15","13","20","18","15","21","18","16","23","21","18","15","22","19","16","23","21","18","26","25","23","21","45","43","40","37","46","43","40","37","35","32","","","","","","","","","","","","","","","","",""
"","","","M2","","","","","","","","","","","","","","","","","","","","12","12","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","19","17","24","21","17","26","22","19","29","25","22","19","27","24","21","29","26","24","34","32","30","27","60","56","53","49","58","54","51","48","44","41","","","","","","","","","","","","","","","","",""
