"1","3","4","6","8","9","10","","11","12","14","15","","16","17","18","19"
"W19","","COPY FROM D4 OUTPUT","","","","","","","","","","","MEAL UPTAKE BY SLOT","","",""
"Slot DE","Week","Count GER","DE Count w/ buffer","Recipe ID","BF SKU","BF Name","DE Name","Name","Internal SKU number (BNL)","Price","Production buffer","","BNL","","",""
"315","W45","188","200","FE4027B","565142","HF RW Rundvlees & BBQ saus RW565085 / FE4027A / CS P+","Pulled beef med BBQ sauce","Beef & BBQ sauce","CON-00-136693-3","","","W45","315","188","",""
"316","W45","354","366","FE4055A","565133","","Citron- og hvidløgskylling","Lemon-garlic chicken","CON-00-138291-2","","","W45","316","354","",""
"317","W45","274","286","FE0169H","565143","Varkenshaas in romige knoflook-mosterdsaus","Svinemørbrad i cremet hvidløg-sennepssauce","Pork tenderloin in creamy garlic-mustard sauce","CON-00-136637-3","","","W45","317","274","",""
"318","W45","256","268","FE4042A","565109","","Svinemørbrad og middelhavsinspireret kartoffelmos ","Pork tenderloin and Mediterranean mash","CON-00-136717-3","","","W45","318","256","",""
"301","W46","1254","1266","FE4001A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W46","301","1254","","#REF!"
"302","W46","951","963","FE4011B","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W46","302","951","","#REF!"
"303","W46","634","646","FE0713A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W46","303","634","","#REF!"
"304","W46","1013","1025","FE4040A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W46","304","1013","6551",""
"305","W46","849","861","FE0271B","565132","","Kylling i tranebærsauce","Cranberry Chicken ","CON-00-136669-3","","","W46","305","849","",""
"306","W46","843","855","FE0129G","565193","HF RW Peruaanse stijl kipfilet","Peruviansk inspireret kyllingebryst","Peruvian style chicken breast","CON-00-136727-3","","","W46","306","843","",""
"307","W46","178","190","FE4010B","565138","","Grillet svinemørbrad og tomatsmør","Grilled pork tenderloin and tomato butter","CON-00-136670-3","","","W46","307","178","",""
