"Data Validation","","","","","","","","","","","","","","","","","","","","",""
"","2026-W19","","","","","","","","","","","","","","","","","","","",""
"","All Meals","","","","","","","","","","","","","","","","","","","",""
"All Markets","week.value","week","slot","BNL Fri Del. Date","BNL Sat Del. Date","Verden Thu Del. Date","Verden Fri Del. Date","recipe code","sku.value BNL","orderSize BNL","BNL Fri Del","BNL Sat Del","sku.value NOR","orderSize NOR","Nor Thu Del","Nor Fri Del","sku.value DE","orderSize DE","De Thu Del","De Fri Del","price"
"","2026-W19","W19","401","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE4015B","CON-40-143658-4","7428","","7428","CON-00-147878-2","3731","0","3731","CON-00-136674-3","2982","0","2982","4.56"
"","2026-W19","W19","402","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE1636A","CON-40-152209-4","4057","","4057","CON-00-152208-2","2460","0","2460","CON-00-152205-2","1852","0","1852","4.39"
"","2026-W19","W19","403","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE0413G","CON-40-143665-4","4251","","4251","CON-00-147839-2","2270","1920","350","CON-00-136698-3","2002","1536","466","4.72"
"","2026-W19","W19","404","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE4009D","CON-40-143765-4","5844","","5844","CON-00-147871-2","2765","0","0","CON-00-137745-2","2349","0","10","5.40"
"","2026-W19","W19","405","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE1451A","CON-40-150747-4","3882","","3882","CON-00-150749-2","2236","1920","316","CON-00-150748-2","2006","1536","470","4.43"
"","2026-W19","W19","406","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE0972B","CON-40-152011-4","2763","","2763","CON-00-152023-2","1573","0","0","CON-00-152025-2","1654","0","10","6.23"
"","2026-W19","W19","407","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE0970B","CON-40-148197-4","2547","","2547","CON-00-148196-2","1313","0","0","CON-00-148220-2","1404","0","61","4.34"
"","2026-W19","W19","408","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE0198D","CON-40-143710-4","1947","","1947","CON-00-147826-2","1193","768","425","CON-00-136638-3","1133","768","365","4.91"
"","2026-W19","W19","409","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE0031C","CON-40-143722-4","767","","767","CON-00-147816-2","316","0","316","CON-00-136629-3","368","0","368","3.94"
"","2026-W19","W19","410","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE0090C","CON-40-143718-4","492","","492","CON-00-147817-2","207","0","207","CON-00-136634-3","298","0","298","3.63"
"","2026-W19","W19","411","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE0169I","CON-40-143739-4","1145","","1145","CON-00-147824-2","650","0","650","CON-00-136637-3","517","0","517","4.57"
"","2026-W19","W19","412","2026-05-01","2026-05-02","2026-05-01","2026-05-01","FE1320C","CON-40-151277-4","3136","","3136","CON-00-151279-2","1316","0","1316","CON-00-151278-2","1180","0","1180","6.40"
