"","Data Validation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","All Meals (except Salmon)","","","","","","","","","","","","","","","","Salmon Meals","","","","","","","","","","","","","",""
"All Markets","week.value","week","slot","deliveryDate BNL","deliveryDate NOR","deliveryDate DE","recipe code","sku.value BNL","orderSize BNL","sku.value NOR","orderSize NOR","sku.value DE","orderSize DE","price","","","week.value","week","slot","deliveryDate BNL","deliveryDate NOR","deliveryDate DE","recipe code","sku.value BNL","orderSize BNL","sku.value NOR","orderSize NOR","sku.value DE","orderSize DE","price",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-143665-4","4251","UNIT_TYPE","0","1","unit","4.72","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-143765-4","5844","UNIT_TYPE","0","1","unit","5.40","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-150747-4","3882","UNIT_TYPE","0","1","unit","4.43","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-152011-4","2763","UNIT_TYPE","0","1","unit","6.23","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-148197-4","2547","UNIT_TYPE","0","1","unit","4.34","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-143722-4","767","UNIT_TYPE","0","1","unit","3.94","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-143718-4","492","UNIT_TYPE","0","1","unit","3.63","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-143739-4","1145","UNIT_TYPE","0","1","unit","4.57","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-143719-4","3765","UNIT_TYPE","0","1","unit","4.05","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-152009-4","1227","UNIT_TYPE","0","1","unit","4.53","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-143706-4","1016","UNIT_TYPE","0","1","unit","5.08","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-154565-4","1233","UNIT_TYPE","0","1","unit","6.35","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-155189-4","3168","UNIT_TYPE","0","1","unit","4.19","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-143777-4","966","UNIT_TYPE","0","1","unit","5.01","","","","","","","","","","","","","","","",""
"","2025-W19","QF","","Multi-Week","115950","2026-05-02","3:00","4:00","CON-40-143657-4","112","UNIT_TYPE","0","1","unit","3.61","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NOR","PO NOR - MAITRE","","","","","","","","","","","","","","","","PO NOR - BONFAIT (Salmon Meals)","","","","","","","","","","","","","",""
"","week.value","distributionCenter.value","customOrderNumberCode","reason","supplierCode.value","deliveryDate","startTime","endTime","sku.value","orderSize","orderUnit.value","buffer.value","case.size","case.uom","price","","week.value","distributionCenter.value","customOrderNumberCode","reason","supplierCode.value","deliveryDate","startTime","endTime","sku.value","orderSize","orderUnit.value","buffer.value","case.size","case.uom","price"
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-147878-2","3731","UNIT_TYPE","0","1","unit","4.56","","2025-W19","VE","","Multi-Week","301026","2026-05-01","3:00","4:00","CON-00-147826-2","1193","UNIT_TYPE","0","1","unit","4.91"
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-152208-2","2460","UNIT_TYPE","0","1","unit","4.39","","2025-W19","VE","","Multi-Week","301026","2026-05-01","3:00","4:00","CON-00-151279-2","1316","UNIT_TYPE","0","1","unit","6.40"
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-147839-2","2270","UNIT_TYPE","0","1","unit","4.72","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-147871-2","2765","UNIT_TYPE","0","1","unit","5.40","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-150749-2","2236","UNIT_TYPE","0","1","unit","4.43","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-152023-2","1573","UNIT_TYPE","0","1","unit","6.23","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-148196-2","1313","UNIT_TYPE","0","1","unit","4.34","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-147816-2","316","UNIT_TYPE","0","1","unit","3.94","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-147817-2","207","UNIT_TYPE","0","1","unit","3.63","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-147824-2","650","UNIT_TYPE","0","1","unit","4.57","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-147901-2","1852","UNIT_TYPE","0","1","unit","4.05","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-152026-2","649","UNIT_TYPE","0","1","unit","4.53","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-147857-2","595","UNIT_TYPE","0","1","unit","5.08","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-154556-2","603","UNIT_TYPE","0","1","unit","6.35","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-155188-2","1692","UNIT_TYPE","0","1","unit","4.19","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","CON-00-147864-2","631","UNIT_TYPE","0","1","unit","5.01","","","","","","","","","","","","","","","",""
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","3:00","4:00","PTN-00-148223-2","51","UNIT_TYPE","0","1","unit","3.61","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DE","PO DE - MAITRE","","","","","","","","","","","","","","","","PO DE - BONFAIT (Salmon Meals)","","","","","","","","","","","","","",""
"","week.value","distributionCenter.value","customOrderNumberCode","reason","supplierCode.value","deliveryDate","startTime","endTime","sku.value","orderSize","orderUnit.value","buffer.value","case.size","case.uom","price","","week.value","distributionCenter.value","customOrderNumberCode","reason","supplierCode.value","deliveryDate","startTime","endTime","sku.value","orderSize","orderUnit.value","buffer.value","case.size","case.uom","price"
"","2025-W19","VE","","Multi-Week","300889","2026-05-01","4:00","5:00","CON-00-136674-3","2982","UNIT_TYPE","0","1","unit","4.56","","2025-W19","VE","","Multi-Week","301026","2026-05-01","4:00","5:00","CON-00-136638-3","1133","UNIT_TYPE","0","1","unit","4.91"
